"Table S1. Precipitation, mean ambient maximum temperature, mean ambient temperature, forage production, CO2 ppm variables by years (1969 – 2017) and means. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,precipitation (mm),,,,,,,mean ambient maximum temperature (°C),,,,,,,,mean ambient temperature (°C),,,,,,
year,forage production (kg*ha-1),CO2 (ppm),total annual,growing season,Dec - Sep,JUN,JULY,AUG,SEP,mean annual,growing season,May -Sep,JUN,JULY,AUG,SEP,mean annual,,growing season,May - Sep,JUN,JULY,AUG,SEP
1967,146,322.2,247.4,153.8,206.2,46.1,40.6,38.1,75.1,25.2,24.3,32.4,33.5,36.4,32.9,29.6,15.2,,24.4,23.1,24.2,27.7,24.5,21.2
1968,90,323,263.4,174.6,243.6,0,87.9,80.4,6.4,23.9,24.3,31,35.4,31.5,27.3,30.8,14,,21.3,21.2,23.7,23.6,20,20.2
1969,94,324.6,232.4,147.3,190,7.1,50.2,43.8,53.3,25.5,24.3,33.6,34.6,35.4,36.3,30.9,15.4,,25.6,24.1,24.2,27.6,27.3,21.9
1970,59,325.7,141.1,91.8,147.7,8.9,73.4,7.5,10.9,24.5,24.3,32.8,34,35.7,33.9,30.4,14.3,,24.3,23,23.6,26.8,25,21
1971,24,326.3,193.5,95.1,114,0,28.8,39.1,27.2,24.5,24.4,32.5,34.7,36.7,32.2,30.6,14.9,,24.4,23.5,26.2,27.2,24.3,21.8
1972,141,327.5,302.6,152.1,225.2,35.7,42.9,86.1,23.1,24.7,23.9,31.6,32.8,34.8,32,29.1,14.8,,23.9,22.7,23.8,26.2,24.4,20.9
1973,150,329.7,183.4,64.5,220.9,9.1,32.4,32.1,0,24.2,23.5,32.3,33.6,33.9,33.8,32.3,13.8,,23.5,22.1,22.5,25.2,24,21.4
1974,114,330.2,251.1,121,137.4,0,73.5,23.5,24,24.5,22.6,32.2,36.7,33.3,31.1,28.4,14.5,,22.6,22.6,25,25.1,23,19.8
1975,103,331.1,191.6,130.6,195.5,0.4,48,9.4,73.2,24.2,23.6,32,35.1,33.3,34.5,29.1,13.8,,23.6,22,22.9,25.1,25.3,20.4
1976,134,332,192.7,94.7,172.2,9.1,42.3,29.3,23.1,24.4,23.1,32.2,34.5,33.8,34.7,29.2,14,,23.1,22.2,23.8,24.5,24.3,20.1
1977,226,333.8,229.6,115.2,180.3,6.4,47.4,23.1,44.7,26.3,25.2,33.8,35.8,35.3,35.5,33.1,15.8,,25.2,23.7,24.3,25.9,26.7,23.2
1978,283,335.4,382.6,149.8,231.6,23.2,11,70.5,68.3,24.8,24.1,32.8,36.1,36.9,33.3,27.5,15.2,,24.1,23.1,23.8,27.8,24.6,20.4
1979,258,336.8,265.7,151.1,254.3,13.9,64.6,55.4,31.1,23.3,24.5,32.4,33.2,36.1,32.7,-,12.5,,24.5,22.3,22.8,26.1,22.8,-
1980,110,338.8,243.8,109.8,242.6,0,16.1,36.8,56.8,25.2,24.7,33.8,37.8,38.1,34.3,30.4,14.6,,24.7,23.4,25.3,27.2,25.9,21.5
1981,258,340.1,275.8,151.7,252.7,5.5,43.4,74.4,33.8,25.2,23.9,32.5,36,35.4,32,30.3,15,,23.9,23.1,24.8,26.7,23.8,21.2
1982,85,341.5,245,128.6,157.7,6.4,5.4,34.9,88.3,24.3,24.6,32.5,34.5,35.7,33.8,29.8,14.7,,24.6,22.8,22.8,26.3,25.8,21.7
1983,56,343.1,209.8,73,211.7,13.3,17,11.9,44.1,23.7,24.9,32.6,32.8,37.3,33.1,32.6,13.2,,24.9,20.2,21.5,19.1,20.5,23.4
1984,143,344.7,324.7,114.6,199.1,41.4,23.1,82.9,8.5,24.8,23.4,32.6,33.2,35.1,31.7,31,15.3,,23.4,23.2,24,25.8,23.8,20.6
1985,244,346.1,317.8,167.6,287.8,9.8,48.5,58.8,60.2,24.7,23.3,33.2,35.4,36.5,34.3,29.7,14.4,,23.3,22.4,23.3,25.4,24.5,19.9
1986,541,347.4,469.7,220.2,301,55,73.7,107.4,39.1,24.4,23.5,31.7,32,33.4,33.8,29.8,14.8,,23.5,22.5,23.6,25,25,20.5
1987,206,349.2,226,132.3,229.4,29.8,29.7,97.5,5.1,23.8,22.9,31.4,33.3,34.7,32.6,28.8,13.6,,22.9,21.8,22.8,25,24.1,19.7
1988,347,351.6,296.7,182.2,265.1,6.2,86.7,67.1,28.4,24.2,22.9,31.2,32.9,33.1,30.5,29.7,14.1,,22.9,21.9,23.3,25,23.4,19.7
1989,212,353.1,169.3,98.4,168,0,40.5,49.7,8.1,25.3,23.8,32.6,34.7,35,31.7,30.2,14.8,,23.8,22.7,25.9,22.9,24.3,20.8
1990,302,354.4,282.4,194.8,252.3,0,88.8,47.4,58.5,24.2,23.4,31.7,36.9,32.8,30.8,29.6,14.6,,23.4,23,26.6,25.2,23.1,21.8
1991,547,355.6,369,180.9,246.4,2.5,70.4,69.1,41.5,23.4,22.8,30.7,33.2,31.7,30.8,27.9,14.1,,22.8,21.9,22.5,24.6,23.8,19.9
1992,840,356.5,387.8,129.4,425.6,11.3,12.3,108.6,8.4,23.6,23.5,31.6,32.9,34.7,32.4,31.5,13.9,,23.5,22,21.4,25.2,24.2,21.2
1993,227,357.1,237.7,129.2,249.4,20.6,56.9,68.3,3.9,24.4,23.9,32.3,34.6,34.4,32.4,30.7,14.9,,23.9,23.3,23.4,26.2,27.1,20.9
1994,7,358.8,170.6,42.9,86.7,3.2,18.5,10.9,13.5,25.5,25.5,34.3,37.7,36.5,35.6,31.4,15.5,,25.5,24.7,27,27.6,27.1,21.9
1995,52,360.8,174.2,106.6,202.7,18.9,23.1,40.6,43,25.5,24.7,32.9,34.6,35.6,34.7,30.2,15.5,,24.7,23.3,23.9,25.9,26.6,21.7
1996,152,362.6,201.7,129.3,184.1,26,58.4,21.5,49.5,25.8,24.2,33.5,35.8,34.7,33.8,29.2,15.5,,24.2,24,26.1,27.1,24.9,20.2
1997,305,363.7,311.8,154,254.1,40.6,56.5,71.8,25.7,24.3,24.8,32.8,33.6,35,33.1,32,14.7,,24.8,23.5,23.3,26.1,24.8,23.3
1998,309,366.7,211.3,106.4,167.1,3.2,57.5,36.1,12.8,25.1,25.5,33.8,35.2,35.8,33.8,33,15,,25.5,23.8,23,27.2,25.3,24.1
1999,385,368.4,287.3,168,262.2,61,38.5,65.4,64.1,25.5,24.3,32,32.8,33.9,32.3,31,15.2,,24.3,23,23,26,24.8,22
2000,278,369.6,264.7,32,182.8,120,15.9,15.6,0.5,26,24.8,34.2,34.4,35.3,34.3,33.5,15.5,,24.8,24.1,25.3,26.2,25.4,22.3
2001,98,371.1,160.4,110.9,153.5,4.8,23.1,23.2,64.6,25.7,24.8,33.9,35.4,36.6,34.1,31.6,15.2,,24.8,23.8,24.7,26.8,25.3,22.3
2002,23,373.3,156.7,61.9,98.2,0,26.9,16.1,18.9,25.6,24.2,33.7,36.8,34.3,34.7,31.2,14.9,,24.2,23.8,27.3,25.8,25.2,21.7
2003,28,375.8,134.6,30.5,135.6,27.9,4.8,17.7,8,26.1,25.4,34.1,34.4,37.1,35.3,32.3,15.3,,25.4,23.8,23.5,27.5,26.3,22.3
2004,48,377.5,333.1,127.2,246.3,28.1,24.7,51.9,50.6,24,23,32.4,33.9,35,32.4,29.8,14.5,,23,22.5,23.4,25.9,23.3,19.7
2005,40,379.8,200.2,57.8,194.9,0,5.8,19.9,32.1,25.4,24.8,33.8,35.3,36.7,33.1,33.2,15.1,,24.8,23.5,23.8,26.7,24.9,22.8
2006,171,381.9,457.6,353.4,374.5,6.4,35.7,177.7,140.1,25,23.2,31.8,35.8,34.6,30.4,26.5,15,,23.2,23.2,25.6,26.9,24.1,18.7
2007,176,383.8,202.5,67.6,182,5.3,16.6,30.4,20.6,24.9,24.6,32.4,34.5,34,34.1,31.1,14.9,,24.6,23.3,24,25.6,25.6,22.6
2008,230,385.6,248.7,226.9,256.2,0.7,126.2,63.9,36.8,24.7,22.9,31.6,36.3,31.9,32,28.2,14.3,,22.9,22.4,24.9,24.8,24.5,19.5
2009,179,387.4,184.6,96.5,116.5,2.2,46.5,26.7,23.3,25.5,24.2,32.8,32.2,36.1,34.7,29.3,15.9,,24.2,23.4,23.3,27.2,24.9,20.5
2010,213,389.9,200.9,145.2,220.8,0,102,23.3,19.9,24.3,24.8,32.4,34.1,33.8,34.6,32.3,14,,24.8,22.8,23.4,25.5,25.9,23.3
2011,73,391.7,133.9,65.8,69.3,0.5,18,40.3,7.6,25.1,25.3,34,37.2,36.6,35.9,32.2,14.6,,25.3,24.3,24.8,29.8,27.1,22.9
2012,44,393.9,75.3,46.6,119.3,0,5.5,12.6,28.5,25.4,24.2,33,36.1,34.2,34.9,29.6,15,,24.2,23.6,24.2,26.5,26.8,21.5
2013,85,396.5,108.2,96.3,105.6,0,2.2,91.8,2.3,24,23.9,32.1,36.7,33.6,32.7,29.1,14.5,,23.9,23.6,26.2,26.2,25.1,22.2
2014,180,398.7,240.2,205.4,215.8,0,46,57,102.4,25,25.2,32.2,36,34.8,31.8,31.5,15.6,,25.2,23.8,25.3,26.7,24.6,25.8
2015,198,400.8,259.5,142.4,212.1,1.5,129.3,8.8,4.4,26,25.4,33.1,35.1,34.6,35.1,32.3,17,,25.4,23.9,25.5,26.3,26.6,23.3
2016,75,404.2,149.3,81.4,102.1,4.9,1.5,52.7,27.3,25.8,24.9,33.4,36.1,37.9,33.1,30.4,15.7,,24.9,23.7,25.8,27.8,24,22
2017,45,406.6,200.1,116.8,218.5,9.8,70.8,45.7,0.3,27.5,24.5,32.9,35.9,35.3,32.5,31.4,17.7,,24.5,23.4,25.1,26.7,24.9,21.6
2018,17,408.5,304.5,76.6,131.5,32.3,42.3,10.8,23.5,25.5,24.5,34.2,37,35.3,34.6,31.6,15.6,,24.5,24.4,26.6,27,25.9,22.3
means,180,360,240,125,202,15,43,48,34,25,24,33,35,35,33,31,15,,24,23,24,26,25,21
,,,,,,,,,,,,,,,,,,,,,,,,
