system:index,NDVI_count,NDVI_mean
LT05_033037_19840505,45510,0.110225008
LT05_033037_19840521,250051,0.135001782
LT05_033037_19840606,22865,0.114839154
LT05_033037_19840622,105131,0.121732017
LT05_033037_19840708,241028,0.143570142
LT05_033037_19841113,250051,0.142009145
LT05_033037_19850217,250051,0.11011836
LT05_033037_19850406,250051,0.141581055
LT05_033037_19850422,239476,0.162179748
LT05_033037_19850609,250051,0.176443695
LT05_033037_19850812,246866,0.179439461
LT05_033037_19850828,138013,0.189303047
LT05_033037_19850913,244431,0.206576273
LT05_033037_19851015,109377,0.163162455
LT05_033037_19851031,139259,0.145659644
LT05_033037_19851116,250051,0.149420583
LT05_033037_19860103,208819,0.108630222
LT05_033037_19860119,250051,0.130755265
LT05_033037_19860204,4,0.016162532
LT05_033037_19860220,1596,0.082035352
LT05_033037_19860308,250051,0.124856547
LT05_033037_19860324,250051,0.127332773
LT05_033037_19860409,250051,0.136948543
LT05_033037_19860425,22264,0.137170703
LT05_033037_19860511,250051,0.155567862
LT05_033037_19860612,250051,0.14665361
LT05_033037_19860628,250051,0.159108546
LT05_033037_19860714,177350,0.188116357
LT05_033037_19860730,250051,0.189363936
LT05_033037_19860815,250051,0.190429521
LT05_033037_19860831,250051,0.220118717
LT05_033037_19860916,250051,0.22692891
LT05_033037_19861018,250051,0.172171003
LT05_033037_19870106,26901,0.067494648
LT05_033037_19870207,250051,0.115881913
LT05_033037_19870412,0,
LT05_033037_19870428,15089,0.111982166
LT05_033037_19870514,144150,0.155299033
LT05_033037_19870530,155257,0.161492655
LT05_033037_19870615,250051,0.184511601
LT05_033037_19870701,250051,0.180172393
LT05_033037_19870802,250051,0.175838122
LT05_033037_19870818,250000,0.174942527
LT05_033037_19870903,250023,0.198246073
LT05_033037_19870919,250051,0.22838967
LT05_033037_19871005,250051,0.185090033
LT05_033037_19871021,250051,0.16664455
LT05_033037_19871224,48043,0.071633823
LT05_033037_19880210,250051,0.102865625
LT05_033037_19880329,250043,0.116885507
LT05_033037_19880414,17863,0.093410374
LT05_033037_19880430,250051,0.137570139
LT05_033037_19880516,250051,0.159204615
LT05_033037_19880617,120702,0.150154318
LT05_033037_19880703,250051,0.161759161
LT05_033037_19880719,250051,0.188174636
LT05_033037_19880820,239027,0.229796711
LT05_033037_19880905,214923,0.203417699
LT05_033037_19880921,250051,0.20510985
LT05_033037_19881007,250051,0.177869582
LT05_033037_19881023,250051,0.153231878
LT05_033037_19890417,250051,0.149255035
LT05_033037_19890503,242505,0.139073389
LT05_033037_19890519,250051,0.150318759
LT05_033037_19890604,250051,0.143502388
LT05_033037_19890620,249839,0.136857864
LT05_033037_19890722,248792,0.151635206
LT05_033037_19890807,201016,0.16206815
LT05_033037_19890823,250051,0.206031383
LT05_033037_19890908,250051,0.249921098
LT05_033037_19890924,250051,0.21198629
LT05_033037_19891010,250051,0.202446382
LT05_033037_19900114,250051,0.107082217
LT05_033037_19900215,188090,0.100050326
LT05_033037_19900404,250048,0.113462312
LT05_033037_19900420,250051,0.127603139
LT05_033037_19900506,250051,0.146813314
LT05_033037_19900522,250051,0.147714608
LT05_033037_19900623,250051,0.137112739
LT05_033037_19900709,250050,0.144679436
LT05_033037_19900810,250051,0.176235191
LT05_033037_19900911,250051,0.20153454
LT05_033037_19900927,250051,0.187917392
LT05_033037_19901013,250051,0.166065195
LT05_033037_19901029,250051,0.143276924
LT05_033037_19910202,243354,0.099392347
LT05_033037_19910322,147226,0.096278646
LT05_033037_19910407,250051,0.109046142
LT05_033037_19910423,250051,0.118345208
LT05_033037_19910509,250051,0.113218196
LT05_033037_19910525,250051,0.135103438
LT05_033037_19910626,250051,0.130669651
LT05_033037_19910712,156725,0.131627202
LT05_033037_19910728,250037,0.169580034
LT05_033037_19910813,250051,0.215440661
LT05_033037_19910829,250051,0.236060043
LT05_033037_19910914,249784,0.234016056
LT05_033037_19910930,250051,0.204320422
LT05_033037_19911016,250051,0.162399527
LT05_033037_19911101,250051,0.142129779
LT05_033037_19911117,250051,0.129612695
LT05_033037_19920120,239433,0.079826391
LT05_033037_19920324,250051,0.103047646
LT05_033037_19920425,250051,0.149961692
LT05_033037_19920511,250051,0.191586707
LT05_033037_19920527,29172,0.07295655
LT05_033037_19920612,250051,0.22302585
LT05_033037_19920628,250051,0.20428514
LT05_033037_19920730,250051,0.200890886
LT05_033037_19920815,201081,0.219624638
LT05_033037_19920831,247335,0.19828557
LT05_033037_19920916,249775,0.208415345
LT05_033037_19921002,250051,0.175192877
LT05_033037_19921018,250051,0.181525853
LT05_033037_19921221,225995,0.107450222
LT05_033037_19930122,250051,0.10583325
LT05_033037_19930207,250051,0.106511349
LT05_033037_19930223,60916,0.080954539
LT05_033037_19930311,179903,0.110121751
LT05_033037_19930327,246385,0.121761915
LT05_033037_19930412,250051,0.116216134
LT05_033037_19930428,250051,0.150702412
LT05_033037_19930514,250051,0.172743865
