system:index,AFGC,BG,BUFF_DIST,LTR,NAME,OBJECTID,OBJECTID_1,ORIG_FID,PFGC,POINT_X,POINT_Y,SHR,Shape_Area,Shape_Leng,TREE
1984_00000000000000000000,4.355769231,40.49038462,10,16,A1,1,1,0,14.16346154,326179.47,3609704.25,13.46153846,314.1592654,62.83185307,2
1984_00000000000000000001,4,40,10,16,A2,2,2,1,14,325703.75,3610513.75,14,314.1592654,62.83185307,2
1984_00000000000000000002,3.380952381,39.38095238,10,13.19047619,A3,3,3,2,18.61904762,325294.19,3611172.5,12,314.1592654,62.83185307,1.80952381
1984_00000000000000000003,3.304761905,37.54285714,10,17.84761905,A4,4,4,3,17,324892.94,3611829,12.3047619,314.1592654,62.83185307,2
1984_00000000000000000004,3.495327103,35.6635514,10,16.5046729,A5,5,5,4,16.20560748,324614.94,3612522.75,11.65420561,314.1592654,62.83185307,2
1984_00000000000000000005,4,60,10,15,AR4,6,6,5,10,327132.78,3609736.25,10,314.1592654,62.83185307,1
1984_00000000000000000006,6.361904762,36.08571429,10,15,AR5,7,7,6,19.27619048,327304.81,3609996.25,10.63809524,314.1592654,62.83185307,1
1984_00000000000000000007,6.452830189,36.35849057,10,15,AR6,8,8,7,19.09433962,327303.5,3610006.75,10.54716981,314.1592654,62.83185307,1
1984_00000000000000000008,5.046296296,40.23148148,10,16,B1,9,9,8,13.90740741,327171.69,3608487.5,12.31481481,314.1592654,62.83185307,2
1984_00000000000000000009,3.36,37.13,10,14.05,B2,10,10,9,25.93,327724.44,3607974.75,7.68,314.1592654,62.83185307,2
1984_0000000000000000000a,3.098039216,37.42156863,10,16.34313725,B3,11,11,10,17.87254902,328293.22,3607462.75,10.49019608,314.1592654,62.83185307,1.441176471
1984_0000000000000000000b,5.594059406,36.17821782,10,14.78217822,B4,12,12,11,30.5049505,328874.13,3606967.25,6.247524752,314.1592654,62.83185307,2
1984_0000000000000000000c,8.093457944,33.44859813,10,17.26168224,B5,13,13,12,22.20560748,329448.84,3606450,8.869158879,314.1592654,62.83185307,1.130841121
1984_0000000000000000000d,5,38.28846154,10,17.375,AR1,14,14,13,18.625,327197.75,3615735,11,314.1592654,62.83185307,2.461538462
1984_0000000000000000000e,4.857142857,40.32380952,10,16.13333333,AR2,15,15,14,19.25714286,327372.94,3615637.25,10.66666667,314.1592654,62.83185307,2
1984_0000000000000000000f,4.886792453,42.41509434,10,16.33962264,AR3,16,16,15,18.41509434,327532.56,3615636.25,9.245283019,314.1592654,62.83185307,1.886792453
1984_00000000000000000010,2.62037037,38.72222222,10,14.14814815,B2A,17,17,16,24.30555556,327382.59,3607655,8.203703704,314.1592654,62.83185307,2.5
1984_00000000000000000011,7,51,10,17,G1,18,18,17,8,336026,3610606.5,6,314.1592654,62.83185307,0
1984_00000000000000000012,5.704761905,34.35238095,10,15.35238095,G2,19,19,18,25,335366,3611003.5,8.352380952,314.1592654,62.83185307,1
1984_00000000000000000013,5.552380952,28.79047619,10,14.44761905,G3,20,20,19,25,334765.34,3611493.5,9.552380952,314.1592654,62.83185307,1
1984_00000000000000000014,3.126213592,53.36893204,10,15,G4,21,21,20,13,334101.44,3612017.75,9.126213592,314.1592654,62.83185307,1
1984_00000000000000000015,6.490384615,35,10,15,G5,22,22,21,22,333466.06,3612496,10,314.1592654,62.83185307,2
