year,month,pdsi
1895,1,0.02
1895,2,0.35
1895,3,-0.05
1895,4,-0.58
1895,5,-0.03
1895,6,-0.66
1895,7,1.46
1895,8,1.81
1895,9,8.32
1895,10,1.42
1895,11,1.68
1895,12,1.31
1896,1,0.87
1896,2,0.11
1896,3,-1.17
1896,4,-1.53
1896,5,-1.98
1896,6,-1.87
1896,7,0.05
1896,8,-0.97
1896,9,7.6
1896,10,2.6
1896,11,2.22
1896,12,1.34
1897,1,1.67
1897,2,1.19
1897,3,0.99
1897,4,0.75
1897,5,1.54
1897,6,0.77
1897,7,1.37
1897,8,1.5
1897,9,9.47
1897,10,2.62
1897,11,1.74
1897,12,0.9
1898,1,1.09
1898,2,-0.18
1898,3,-0.52
1898,4,-0.23
1898,5,-0.57
1898,6,1.22
1898,7,2.25
1898,8,2.61
1898,9,9.36
1898,10,1.26
1898,11,1.05
1898,12,1.55
1899,1,1.25
1899,2,1.03
1899,3,0.88
1899,4,0.3
1899,5,-0.71
1899,6,-0.71
1899,7,0.94
1899,8,-0.66
1899,9,6.95
1899,10,-1.68
1899,11,-1.32
1899,12,-1.56
1900,1,-1.71
1900,2,-1.64
1900,3,-1.25
1900,4,-1.31
1900,5,-1.18
1900,6,-1.65
1900,7,-1.7
1900,8,-2.31
1900,9,6.97
1900,10,-1.38
1900,11,-1.48
1900,12,-1.87
1901,1,-1.95
1901,2,-1.16
1901,3,-0.6
1901,4,-0.76
1901,5,-1.03
1901,6,-1.07
1901,7,-0.14
1901,8,-1.04
1901,9,6.68
1901,10,0.76
1901,11,1.3
1901,12,0.49
1902,1,-0.59
1902,2,-1.51
1902,3,-1.91
1902,4,-2.29
1902,5,-2.29
1902,6,-2.64
1902,7,-2.48
1902,8,-1.98
1902,9,6.15
1902,10,-2.4
1902,11,-1.99
1902,12,-1.36
1903,1,-1.17
1903,2,1.08
1903,3,1.91
1903,4,1.92
1903,5,1.84
1903,6,3.73
1903,7,2.41
1903,8,1.92
1903,9,8.3
1903,10,1.21
1903,11,-0.06
1903,12,-1.29
1904,1,-1.9
1904,2,-2.61
1904,3,-3.13
1904,4,-3.31
1904,5,-3.33
1904,6,-2.95
1904,7,-2.92
1904,8,-2.61
1904,9,7.62
1904,10,2.64
1904,11,2.28
1904,12,2.3
1905,1,2.7
1905,2,3.95
1905,3,5.73
1905,4,7.41
1905,5,7.86
1905,6,8.57
1905,7,7.89
1905,8,6.44
1905,9,10.67
1905,10,5.36
1905,11,6.85
1905,12,6.72
1906,1,6.36
1906,2,6.29
1906,3,6.03
1906,4,6.32
1906,5,6.18
1906,6,5.13
1906,7,4.98
1906,8,5.24
1906,9,9.19
1906,10,3.62
1906,11,4.31
1906,12,4.72
1907,1,4.55
1907,2,3.66
1907,3,2.71
1907,4,2.29
1907,5,2.19
1907,6,2.12
1907,7,1.21
1907,8,1.87
1907,9,8.44
1907,10,2.19
1907,11,2.44
1907,12,1.4
1908,1,1.06
1908,2,0.9
1908,3,-0.53
1908,4,-0.49
1908,5,-0.73
1908,6,-1.31
1908,7,-0.55
1908,8,1.52
1908,9,7.51
1908,10,-1.04
1908,11,-0.8
1908,12,-1.39
1909,1,-2.33
1909,2,-2.56
1909,3,-2.08
1909,4,-2.32
1909,5,-2.57
1909,6,-2.34
1909,7,-2.58
1909,8,-2.58
1909,9,5.51
1909,10,-3.05
1909,11,-3.41
1909,12,-3.06
1910,1,-3.2
1910,2,-3.4
1910,3,-3.89
1910,4,-3.79
1910,5,-4.01
1910,6,-3.28
1910,7,-3.96
1910,8,-3.86
1910,9,4.16
1910,10,-4.65
1910,11,-4.46
1910,12,-4.52
1911,1,-4.5
1911,2,-3.2
1911,3,-2.34
1911,4,-2.03
1911,5,-2.31
1911,6,-1.71
1911,7,2.56
1911,8,1.17
1911,9,7.69
1911,10,0.91
1911,11,-0.29
1911,12,-0.29
1912,1,-1.19
1912,2,-1.34
1912,3,-1.36
1912,4,-0.62
1912,5,-1.17
