water_yr,pdo,nino34,pdsi,spei,yearly_ppt_mm,summer_ppt_mm,summer_pdsi,summer_spei,summer_tmax,summer_tmin,winter_ppt_mm,winter_pdsi,winter_spei,winter_tmax,winter_tmin,pdo_phase,enso_phase
1901,0.000833333,0.063333333,-0.483333333,-0.037075009,201.84,146.77,0.68,-0.002678713,32.6,13.62,55.07,-1.314285714,-0.061643793,18.8,-1.157142857,cool,Neutral
1902,0.739166667,0.2875,-0.5825,-0.18695092,233.92,146.76,-0.648,0.029560643,31.9,13.2,87.16,-0.535714286,-0.341602037,19.5,-0.442857143,cool,Neutral
1903,0.124166667,0.543333333,1.349166667,0.403159224,271.95,190.83,3.64,0.599418836,31.22,12.84,81.12,-0.287142857,0.262973786,18.22857143,-1.385714286,cool,ElNino
1904,-0.395,-0.354166667,-1.273333333,-0.352398757,196.04,193.59,-0.838,0.437389563,31.48,13.46,2.45,-1.584285714,-0.916533271,20.34285714,-2.571428571,cool,LaNina
1905,0.765,0.79,5.703333333,0.939422457,391.33,174.56,8.286,0.336592267,31.92,13.64,216.77,3.858571429,1.37001545,17.05714286,0.114285714,cool,ElNino
1906,0.421666667,0.369166667,6.220833333,0.379097091,307.13,166.94,6.144,0.196828349,31.92,13.04,140.19,6.275714286,0.509289049,17.44285714,0.414285714,cool,ElNino
1907,0.035833333,-0.469166667,3.474166667,-0.009381368,284.4,179.13,3.166,0.52925779,31.4,13.4,105.27,3.694285714,-0.394123623,19.75714286,1.471428571,cool,Neutral
1908,0.461666667,-0.349166667,1.1175,-0.04634027,235.48,154.95,1.288,0.273026592,31.28,12.94,80.53,0.995714286,-0.274459457,18.65714286,0.928571429,cool,Neutral
1909,0.020833333,-0.766666667,-1.423333333,-0.316585556,150.96,116.64,-0.912,-0.11896943,31.64,14.02,34.32,-1.788571429,-0.457739931,18.55714286,-0.671428571,cool,LaNina
1910,-0.128333333,-1.0725,-2.895833333,-1.035709331,127.17,103.37,-2.19,-1.006108371,33.58,15.64,23.8,-3.4,-1.056852874,19.34285714,0.3,cool,LaNina
