"year","month","ppt_mm","tmin_c","tmax_c","spei1","pdsi","nino34_index","ONI","enso_phase","pdo","date"
1900,1,9.87,-4,15.9,-0.442104869320242,-1.71,1.41,1.40333333333333,"ElNino",0.04,1900-01-01
1900,2,9.38,-3.4,16.8,0.0947354692204175,-1.64,1.29,1.23,"ElNino",1.32,1900-02-01
1900,3,24.73,1,21.2,1.02427064711222,-1.25,0.99,0.98,"ElNino",0.49,1900-03-01
1900,4,0.16,2.1,21.7,0.866722249646581,-1.31,0.66,0.73,"ElNino",0.35,1900-04-01
1900,5,13.16,8.3,30.2,0.128647630442197,-1.18,0.54,0.653333333333333,"ElNino",0.77,1900-05-01
1900,6,2.74,13.7,35.2,-0.606589885456278,-1.65,0.76,0.683333333333333,"ElNino",0.65,1900-06-01
1900,7,36.78,17.1,34.6,-0.207917875861802,-1.7,0.75,0.763333333333333,"ElNino",0.95,1900-07-01
1900,8,27.63,15.2,34.9,-1.07635623416551,-2.31,0.78,0.696666666666667,"ElNino",0.14,1900-08-01
1900,9,54.49,13.5,30.3,0.770879274153584,6.97,0.56,0.586666666666667,"ElNino",-0.24,1900-09-01
1900,10,4.61,5.6,25.3,-0.647334051544807,-1.38,0.42,0.373333333333333,"Neutral",0.23,1900-10-01
1900,11,0,-2.4,19.7,-0.93373957395686,-1.48,0.14,0.386666666666667,"Neutral",-0.44,1900-11-01
1900,12,2.55,-6.8,14.5,-0.879135168156303,-1.87,0.6,0.52,"ElNino",1.19,1900-12-01
1901,1,6.33,-4.1,14.7,-0.464860379140062,-1.95,0.82,0.57,"ElNino",0.79,1901-01-01
1901,2,26.2,-0.9,15,1.47144295906106,-1.16,0.29,0.386666666666667,"Neutral",-0.12,1901-02-01
1901,3,11.5,-1.5,18.9,0.809642432802416,-0.6,0.05,0.07,"Neutral",0.35,1901-03-01
1901,4,3.88,2,23.5,0.484696825793634,-0.76,-0.13,-0.09,"Neutral",0.61,1901-04-01
1901,5,7.1,8.8,29.3,0.222323623952047,-1.03,-0.19,-0.193333333333333,"Neutral",-0.42,1901-05-01
1901,6,14.29,12.5,33.8,0.341641632009512,-1.07,-0.26,-0.25,"Neutral",-0.05,1901-06-01
1901,7,59.59,17.3,33.9,0.600920882083272,-0.14,-0.3,-0.313333333333333,"Neutral",-0.6,1901-07-01
1901,8,38.72,16.9,34.9,-0.509349742218617,-1.04,-0.38,-0.326666666666667,"Neutral",-1.2,1901-08-01
1901,9,27.07,12.6,31.1,-0.30883928848683,6.68,-0.3,-0.33,"Neutral",-0.33,1901-09-01
1901,10,57.9,6.8,24.4,1.44743504461302,0.76,-0.31,-0.333333333333333,"Neutral",0.16,1901-10-01
1901,11,24.48,0.8,19.3,0.898956318735976,1.3,-0.39,-0.35,"Neutral",-0.6,1901-11-01
1901,12,2.02,-5.2,14.8,-0.973413625718024,0.49,-0.35,-0.413333333333333,"Neutral",-0.14,1901-12-01
1902,1,1.39,-4.7,14.9,-0.988532215400741,-0.59,-0.5,-0.37,"Neutral",0.82,1902-01-01
1902,2,0,-3.4,17.4,-0.962019286662494,-1.51,-0.26,-0.343333333333333,"Neutral",1.58,1902-02-01
1902,3,1.37,-1.8,18.2,0.373265289212843,-1.91,-0.27,-0.11,"Neutral",0.48,1902-03-01
1902,4,0,4.4,27.5,-1.60488714343058,-2.29,0.2,0.133333333333333,"Neutral",1.37,1902-04-01
1902,5,7.96,8.4,29.7,0.0484200198075272,-2.29,0.47,0.48,"Neutral",1.09,1902-05-01
1902,6,3.4,13.9,36.3,-1.06239329832347,-2.64,0.77,0.893333333333333,"ElNino",0.52,1902-06-01
1902,7,41.76,16,32.7,0.283649641716137,-2.48,1.44,1.14,"ElNino",1.58,1902-07-01
1902,8,66.29,16.1,32.3,0.796084847128503,-1.98,1.21,1.36333333333333,"ElNino",1.57,1902-08-01
1902,9,27.35,11.6,28.5,0.14698782238224,6.15,1.44,1.35,"ElNino",0.44,1902-09-01
1902,10,0,3.7,26.6,-1.31628273867616,-2.4,1.4,1.46,"ElNino",0.7,1902-10-01
1902,11,11.76,-2,18.6,0.264644817537077,-1.99,1.54,1.44333333333333,"ElNino",0.16,1902-11-01
1902,12,25.88,-4.3,13,0.811844609766088,-1.36,1.39,1.42,"ElNino",-1.1,1902-12-01
1903,1,10.45,-4.8,13.8,0.0816594876809767,-1.17,1.33,1.21666666666667,"ElNino",0.86,1903-01-01
1903,2,22.86,-5.3,12.6,1.54961216673093,1.08,0.93,1.01666666666667,"ElNino",-0.24,1903-02-01
1903,3,8.75,-1.9,18.9,0.636195292795772,1.91,0.79,0.693333333333333,"ElNino",-0.22,1903-03-01
1903,4,1.42,4.9,24.1,0.334894078366268,1.92,0.36,0.35,"Neutral",-0.5,1903-04-01
1903,5,7.64,7.1,27.5,0.760706787755616,1.84,-0.1,0.183333333333333,"Neutral",0.43,1903-05-01
1903,6,66.27,12,30.7,2.00421176376672,3.73,0.29,-0.1,"Neutral",0.23,1903-06-01
1903,7,19.04,16.7,35.4,-1.02182321599113,2.41,-0.49,-0.173333333333333,"Neutral",0.4,1903-07-01
1903,8,43.31,16.3,33.4,-0.0394555443684426,1.92,-0.32,-0.47,"Neutral",1.01,1903-08-01
1903,9,54.57,12.1,29.1,0.883406226224608,8.3,-0.6,-0.446666666666667,"Neutral",-0.24,1903-09-01
1903,10,0,2.3,25,-0.986183116281941,1.21,-0.42,-0.593333333333333,"LaNina",0.18,1903-10-01
1903,11,0,-3.3,21,-1.33647752454148,-0.06,-0.76,-0.733333333333333,"LaNina",0.08,1903-11-01
1903,12,0.57,-7.5,14.1,-0.96217964026049,-1.29,-1.02,-0.836666666666667,"LaNina",-0.03,1903-12-01
1904,1,0,-9.7,13.5,-0.771726752530952,-1.9,-0.73,-0.846666666666667,"LaNina",0.63,1904-01-01
1904,2,1.88,-3.3,19.8,-1.60090915733385,-2.61,-0.79,-0.79,"LaNina",-0.91,1904-02-01
1904,3,0,0,22.7,-1.45307044871966,-3.13,-0.85,-0.786666666666667,"LaNina",-0.71,1904-03-01
1904,4,0,3.5,26.3,-0.999332199129709,-3.31,-0.72,-0.656666666666667,"LaNina",-0.07,1904-04-01
1904,5,4.4,7.9,29.1,0.0403651973694078,-3.33,-0.4,-0.326666666666667,"Neutral",-0.22,1904-05-01
1904,6,14.39,14,33.2,0.671827435437876,-2.95,0.14,0.163333333333333,"Neutral",-1.53,1904-06-01
1904,7,34.88,16.5,34.2,-0.227311448139806,-2.92,0.75,0.476666666666667,"Neutral",-1.58,1904-07-01
1904,8,51.61,16.1,32.6,0.367723461730955,-2.61,0.54,0.433333333333333,"Neutral",-0.64,1904-08-01
1904,9,88.31,12.8,28.3,1.79938836064219,7.62,0.01,0.486666666666667,"Neutral",0.06,1904-09-01
1904,10,38.55,7,22.4,1.22009748685945,2.64,0.91,0.356666666666667,"Neutral",0.43,1904-10-01
1904,11,9.17,-3,18,0.191630228631998,2.28,0.15,0.64,"ElNino",1.45,1904-11-01
1904,12,21.3,-4.7,12.7,0.634713167386226,2.3,0.86,0.563333333333333,"ElNino",0.06,1904-12-01
1905,1,24.15,-3.9,14.1,0.972582921471524,2.7,0.68,0.753333333333333,"ElNino",0.73,1905-01-01
1905,2,37.87,-0.8,13.1,2.03517178544623,3.95,0.72,0.773333333333333,"ElNino",0.91,1905-02-01
1905,3,52.9,2.3,17.9,2.40416487203519,5.73,0.92,0.643333333333333,"ElNino",1.31,1905-03-01
1905,4,32.83,3.9,21.2,2.10509582595744,7.41,0.29,0.763333333333333,"ElNino",1.59,1905-04-01
1905,5,0.61,7.2,28.4,0.0390733719863857,7.86,1.08,0.653333333333333,"ElNino",-0.07,1905-05-01
1905,6,41.58,14.8,34.1,1.28450326609546,8.57,0.59,0.83,"ElNino",0.69,1905-06-01
1905,7,46.56,15.7,33.5,0.200961573407389,7.89,0.82,0.816666666666667,"ElNino",0.85,1905-07-01
1905,8,32.54,16.6,34.2,-0.564674657605116,6.44,1.04,1.09333333333333,"ElNino",1.26,1905-08-01
1905,9,53.27,13.9,29.4,0.922298716694483,10.67,1.42,1.19333333333333,"ElNino",-0.03,1905-09-01
1905,10,12.2,6.5,24,0.0606727331358303,5.36,1.12,1.12333333333333,"ElNino",-0.15,1905-10-01
1905,11,57.19,2.8,16.4,2.07013308165067,6.85,0.83,1.04,"ElNino",1.11,1905-11-01
1905,12,22.91,-5.8,9.3,1.03139833563886,6.72,1.17,0.963333333333333,"ElNino",-0.5,1905-12-01
1906,1,13.43,-5.6,12.2,0.599815691846038,6.36,0.89,0.91,"ElNino",0.92,1906-01-01
1906,2,21.17,-1,15.7,1.14951469337027,6.29,0.67,0.786666666666667,"ElNino",1.18,1906-02-01
1906,3,2.51,1.2,20.3,-0.105852230700444,6.03,0.8,0.64,"ElNino",0.83,1906-03-01
1906,4,10.78,4.8,24.2,0.840365990037172,6.32,0.45,0.423333333333333,"Neutral",0.74,1906-04-01
1906,5,7.88,6.9,29.2,0.0987678066887132,6.18,0.02,0.206666666666667,"Neutral",0.44,1906-05-01
1906,6,0,13.4,35.8,-1.10240448124489,5.13,0.15,-0.106666666666667,"Neutral",1.24,1906-06-01
1906,7,48.01,17.2,33.1,0.477093511700148,4.98,-0.49,-0.236666666666667,"Neutral",0.09,1906-07-01
1906,8,83.74,16.1,31.1,1.33119257219249,5.24,-0.37,-0.556666666666667,"LaNina",-0.53,1906-08-01
1906,9,27.31,11.6,30.4,-0.231092288073137,9.19,-0.81,-0.683333333333333,"LaNina",-0.31,1906-09-01
1906,10,9.05,3.6,25.1,-0.476457118992006,3.62,-0.87,-0.67,"LaNina",0.08,1906-10-01
1906,11,38.92,0.9,16.4,1.66573655830035,4.31,-0.33,-0.57,"LaNina",1.69,1906-11-01
1906,12,39.83,-0.7,14.2,1.26878680806981,4.72,-0.51,-0.47,"Neutral",-0.54,1906-12-01
1907,1,17.12,-0.7,15,0.469679043793344,4.55,-0.57,-0.496666666666667,"Neutral",-0.3,1907-01-01
1907,2,0.31,-0.5,19.3,-1.4757295224685,3.66,-0.41,-0.47,"Neutral",-0.32,1907-02-01
1907,3,0,2,23.1,-1.49828339061795,2.71,-0.43,-0.466666666666667,"Neutral",-0.19,1907-03-01
1907,4,0.04,5.7,25.2,-0.163361422672053,2.29,-0.56,-0.486666666666667,"Neutral",-0.16,1907-04-01
1907,5,11.86,6.6,26.4,1.22284514919077,2.19,-0.47,-0.48,"Neutral",0.16,1907-05-01
1907,6,13.97,11.6,33.1,0.457922481510019,2.12,-0.41,-0.476666666666667,"Neutral",0.57,1907-06-01
1907,7,27.44,17.9,34.5,-0.37229528537245,1.21,-0.55,-0.536666666666667,"LaNina",0.63,1907-07-01
1907,8,85.03,17.5,33.2,1.14452061882149,1.87,-0.65,-0.356666666666667,"Neutral",-0.96,1907-08-01
1907,9,40.83,13.4,29.8,0.455915323882316,8.44,0.13,-0.256666666666667,"Neutral",-0.23,1907-09-01
1907,10,28.82,6.9,23.8,0.754112865721088,2.19,-0.25,-0.123333333333333,"Neutral",0.84,1907-10-01
1907,11,18.66,1,15.2,1.17863309234477,2.44,-0.25,-0.196666666666667,"Neutral",0.66,1907-11-01
1907,12,0,-3.5,15.3,-1.22322151309194,1.4,-0.09,-0.203333333333333,"Neutral",0.72,1907-12-01
1908,1,8.68,-4,14,-0.0898344227630428,1.06,-0.27,-0.0966666666666667,"Neutral",1.36,1908-01-01
1908,2,10.91,-1.8,15.8,0.506497051755562,0.9,0.07,-0.276666666666667,"Neutral",1.02,1908-02-01
1908,3,5.22,1.9,22.5,-0.743686124503136,-0.53,-0.63,-0.37,"Neutral",0.67,1908-03-01
1908,4,8.24,6,24,0.874681685194836,-0.49,-0.55,-0.543333333333333,"LaNina",0.23,1908-04-01
1908,5,7.91,7.4,27.4,0.833200257827504,-0.73,-0.45,-0.406666666666667,"Neutral",0.23,1908-05-01
1908,6,0.16,12.1,34.4,-0.616854428958636,-1.31,-0.22,-0.433333333333333,"Neutral",0.41,1908-06-01
1908,7,55.56,17.3,32.8,0.731928993847985,-0.55,-0.63,-0.416666666666667,"Neutral",0.6,1908-07-01
1908,8,88.89,16.9,31.9,1.36123358041644,1.52,-0.4,-0.516666666666667,"LaNina",-1.04,1908-08-01
1908,9,2.43,11,29.9,-0.988485937993776,7.51,-0.52,-0.473333333333333,"Neutral",-0.16,1908-09-01
1908,10,1.67,2.6,24,-0.654956786250896,-1.04,-0.5,-0.633333333333333,"LaNina",-0.41,1908-10-01
1908,11,16.13,-2,17.6,0.681092739867129,-0.8,-0.88,-0.843333333333333,"LaNina",0.47,1908-11-01
1908,12,0.21,-3,13.3,-0.75856552440409,-1.39,-1.15,-0.773333333333333,"LaNina",1.16,1908-12-01
1909,1,0.03,-1.8,17.3,-1.68399004188827,-2.33,-0.29,-0.773333333333333,"LaNina",0.23,1909-01-01
1909,2,0,-2.9,15.9,-0.463281341671511,-2.56,-0.88,-0.57,"LaNina",1.01,1909-02-01
1909,3,16.28,-1,17.5,1.3627456719557,-2.08,-0.54,-0.7,"LaNina",0.54,1909-03-01
1909,4,0,3.4,24.3,0.00352127307561701,-2.32,-0.68,-0.526666666666667,"LaNina",0.24,1909-04-01
1909,5,0,7.1,27.5,0.370902414682351,-2.57,-0.36,-0.713333333333333,"LaNina",-0.39,1909-05-01
1909,6,15.37,14.7,34.4,0.431102363972455,-2.34,-1.1,-0.82,"LaNina",-0.64,1909-06-01
1909,7,33.22,18.8,34.4,-0.0600330078948665,-2.58,-1,-1.02333333333333,"LaNina",-0.39,1909-07-01
1909,8,46.66,17.3,32.8,0.306570178989977,-2.58,-0.97,-0.94,"LaNina",-0.68,1909-08-01
1909,9,21.39,12.2,29.1,-0.120417096436629,5.51,-0.85,-1.02,"LaNina",-0.89,1909-09-01
1909,10,3.99,5.1,26.4,-0.973803779323161,-3.05,-1.24,-1.19666666666667,"LaNina",-0.02,1909-10-01
1909,11,0,0.2,20.3,-1.01190353608069,-3.41,-1.5,-1.27333333333333,"LaNina",-0.4,1909-11-01
1909,12,12.33,-5.5,9.3,0.587430590696122,-3.06,-1.08,-1.17,"LaNina",-0.01,1909-12-01
1910,1,0.91,-3,14.5,-0.87985221976271,-3.2,-0.93,-0.883333333333333,"LaNina",-0.25,1910-01-01
1910,2,0.26,-3,16.1,-0.503826524422235,-3.4,-0.64,-0.786666666666667,"LaNina",-0.7,1910-02-01
1910,3,3.09,3.2,23.4,-1.23685224623283,-3.89,-0.79,-0.866666666666667,"LaNina",0.18,1910-03-01
1910,4,3.22,5.1,25.4,-0.0828401045315009,-3.79,-1.17,-1.12333333333333,"LaNina",-0.37,1910-04-01
1910,5,0,10.8,30.2,-0.360253527934791,-4.01,-1.41,-1.20666666666667,"LaNina",-0.06,1910-05-01
1910,6,24.43,15.5,34.8,0.723071147930352,-3.28,-1.04,-1.11,"LaNina",-0.28,1910-06-01
1910,7,16.86,18.7,36.2,-1.07891395362536,-3.96,-0.88,-0.94,"LaNina",0.03,1910-07-01
1910,8,54.51,18.4,34.9,0.160606936972916,-3.86,-0.9,-1.02333333333333,"LaNina",-0.06,1910-08-01
1910,9,7.57,14.8,31.8,-0.916699965889591,4.16,-1.29,-1.04333333333333,"LaNina",0.4,1910-09-01
1910,10,2.17,5.9,25.6,-0.83010049715395,-4.65,-0.94,-0.92,"LaNina",-0.66,1910-10-01
1910,11,7.52,0,20.5,-0.403899650449868,-4.46,-0.53,-0.703333333333333,"LaNina",0.02,1910-11-01
1910,12,5.04,-2.9,14.9,-0.699525439089085,-4.52,-0.64,-0.58,"LaNina",0.84,1910-12-01
1911,1,7.05,-1.7,16.5,-0.782673532243295,-4.5,-0.57,-0.596666666666667,"LaNina",-1.11,1911-01-01
1911,2,33.7,-0.5,14.6,1.78741344332153,-3.2,-0.58,-0.656666666666667,"LaNina",0,1911-02-01
1911,3,24,3.5,21.7,0.996673139583808,-2.34,-0.82,-0.836666666666667,"LaNina",-0.78,1911-03-01
1911,4,7.03,4.7,23.5,0.857423966473451,-2.03,-1.11,-0.993333333333333,"LaNina",-0.73,1911-04-01
1911,5,1.57,9,30.2,-0.532559860519808,-2.31,-1.05,-0.933333333333333,"LaNina",0.17,1911-05-01
1911,6,27.69,14.6,33.1,1.13473380968858,-1.71,-0.64,-0.636666666666667,"LaNina",0.02,1911-06-01
1911,7,93.06,17.8,31.5,1.65871886049231,2.56,-0.22,-0.38,"Neutral",0.48,1911-07-01
1911,8,20.9,16.5,35,-1.20412420796824,1.17,-0.28,-0.0933333333333333,"Neutral",0.43,1911-08-01
1911,9,35.9,14.9,31.1,0.16922529913338,7.69,0.22,0.0466666666666667,"Neutral",0.29,1911-09-01
1911,10,8.69,6,24.1,-0.150735657990798,0.91,0.2,0.42,"Neutral",0.2,1911-10-01
1911,11,0.36,-1.4,15.7,0.0961256763487223,-0.29,0.84,0.666666666666667,"ElNino",-0.86,1911-11-01
1911,12,11.93,-7.2,9.8,0.48965649319452,-0.29,0.96,1.11666666666667,"ElNino",0.01,1911-12-01
1912,1,0,-5.6,14.4,-1.00722838007098,-1.19,1.55,1.11333333333333,"ElNino",-1.72,1912-01-01
1912,2,3.96,-3.9,15.4,0.00314213243345183,-1.34,0.83,1.02333333333333,"ElNino",-0.23,1912-02-01
1912,3,8.49,0.8,18.7,0.798441374778083,-1.36,0.69,0.7,"ElNino",-0.04,1912-03-01
1912,4,21.27,3.2,21,1.83655422738545,-0.62,0.58,0.423333333333333,"Neutral",-0.38,1912-04-01
1912,5,0.76,8.1,29.4,-0.30879524115779,-1.17,0,0.113333333333333,"Neutral",-0.02,1912-05-01
1912,6,26.33,14.9,33.2,1.10382299094142,-0.54,-0.24,-0.113333333333333,"Neutral",0.77,1912-06-01
1912,7,39.13,17.6,34.1,0.0446736306006727,-0.63,-0.1,-0.246666666666667,"Neutral",1.07,1912-07-01
1912,8,108.15,16.5,31.9,1.63522603718349,2.16,-0.4,-0.136666666666667,"Neutral",-0.84,1912-08-01
1912,9,31.63,11.3,27.9,0.374532065402063,8.69,0.09,-0.146666666666667,"Neutral",0.94,1912-09-01
1912,10,31.75,5.5,22.7,0.938522936535578,2.07,-0.13,0.04,"Neutral",0.56,1912-10-01
1912,11,9.5,-2.9,17.1,0.378816556069888,1.79,0.16,-0.153333333333333,"Neutral",0.74,1912-11-01
1912,12,15.85,-7,9.5,0.712896939302085,1.75,-0.49,-0.176666666666667,"Neutral",0.98,1912-12-01
1913,1,11.33,-7.1,11.1,0.631948592631124,1.76,-0.2,-0.17,"Neutral",-0.03,1913-01-01
1913,2,17.78,-2.8,13.5,1.27258775865815,2.27,0.18,0.0466666666666667,"Neutral",0.34,1913-02-01
1913,3,3.44,-1.2,17.8,0.650400792160424,2.47,0.16,-0.143333333333333,"Neutral",0.06,1913-03-01
1913,4,19.59,2.8,23.3,1.34688979175257,2.9,-0.77,-0.296666666666667,"Neutral",-0.92,1913-04-01
1913,5,0.42,9.3,30,-0.465852580523291,2.22,-0.28,-0.403333333333333,"Neutral",0.66,1913-05-01
1913,6,21.02,13.7,31.8,1.16102334891188,2.3,-0.16,-0.196666666666667,"Neutral",1.43,1913-06-01
1913,7,24.45,16.5,34.9,-0.736208814762639,1.44,-0.15,-0.133333333333333,"Neutral",1.06,1913-07-01
1913,8,41.63,16.6,33,0.0379481318075987,0.51,-0.09,-0.0633333333333333,"Neutral",1.29,1913-08-01
1913,9,31.64,10.8,26.8,0.540378320359868,7.09,0.05,-0.00333333333333333,"Neutral",0.73,1913-09-01
