"project_year","total_cover","quadrat","species"
1916,0.0320595,"A1","ARIST"
1916,0,"A1","ARTE3"
1916,0.02470638,"A1","BOER4"
1916,0,"A1","BOUTE"
1916,0,"A1","CYPER"
1916,0,"A1","DAPU7"
1916,0,"A1","ENDE"
1916,0,"A1","ERLE"
1916,0,"A1","MUAR"
1916,0,"A1","MUAR2"
1916,0,"A1","MUPO2"
1916,0,"A1","PAHA"
1916,0,"A1","PAOB"
1916,0,"A1","PLMU3"
1916,0,"A1","SCBR2"
1916,0,"A1","SELE6"
1916,0,"A1","SPAI"
1916,0,"A1","SPCO4"
1916,0,"A1","SPCR"
1916,0,"A1","SPFL2"
1916,0,"A1","SPORO"
1916,0,"A1","UNKG"
1917,0.01723244,"A1","ARIST"
1917,0,"A1","ARTE3"
1917,0.01421189,"A1","BOER4"
1917,6e-04,"A1","BOUTE"
1917,0,"A1","CYPER"
1917,0,"A1","DAPU7"
1917,0,"A1","ENDE"
1917,0,"A1","ERLE"
1917,0,"A1","MUAR"
1917,0,"A1","MUAR2"
1917,0,"A1","MUPO2"
1917,5e-05,"A1","PAHA"
1917,0,"A1","PAOB"
1917,0,"A1","PLMU3"
1917,0,"A1","SCBR2"
1917,0,"A1","SELE6"
1917,0,"A1","SPAI"
1917,0,"A1","SPCO4"
1917,0,"A1","SPCR"
1917,0,"A1","SPFL2"
1917,0,"A1","SPORO"
1917,0,"A1","UNKG"
1918,0.00305451,"A1","ARIST"
1918,0,"A1","ARTE3"
1918,0.00526725,"A1","BOER4"
1918,2.5e-05,"A1","BOUTE"
1918,0,"A1","CYPER"
1918,0,"A1","DAPU7"
1918,0,"A1","ENDE"
1918,0,"A1","ERLE"
1918,0,"A1","MUAR"
1918,0,"A1","MUAR2"
1918,0,"A1","MUPO2"
1918,0,"A1","PAHA"
1918,0,"A1","PAOB"
1918,0,"A1","PLMU3"
1918,0,"A1","SCBR2"
1918,0,"A1","SELE6"
1918,0,"A1","SPAI"
1918,0,"A1","SPCO4"
1918,0,"A1","SPCR"
1918,0,"A1","SPFL2"
1918,0,"A1","SPORO"
1918,0,"A1","UNKG"
1919,0.00239675,"A1","ARIST"
1919,0,"A1","ARTE3"
1919,0.0081498,"A1","BOER4"
1919,0,"A1","BOUTE"
1919,0,"A1","CYPER"
1919,0,"A1","DAPU7"
1919,0,"A1","ENDE"
1919,0,"A1","ERLE"
1919,0,"A1","MUAR"
1919,0,"A1","MUAR2"
1919,0,"A1","MUPO2"
1919,0,"A1","PAHA"
1919,0,"A1","PAOB"
1919,0,"A1","PLMU3"
1919,0,"A1","SCBR2"
1919,0,"A1","SELE6"
1919,0,"A1","SPAI"
1919,0,"A1","SPCO4"
1919,0,"A1","SPCR"
1919,0,"A1","SPFL2"
1919,0,"A1","SPORO"
1919,0,"A1","UNKG"
1920,0.0035785,"A1","ARIST"
1920,0,"A1","ARTE3"
1920,0.01831925,"A1","BOER4"
1920,0,"A1","BOUTE"
1920,0,"A1","CYPER"
1920,0,"A1","DAPU7"
1920,0,"A1","ENDE"
1920,0,"A1","ERLE"
1920,0,"A1","MUAR"
1920,0,"A1","MUAR2"
1920,0,"A1","MUPO2"
1920,0,"A1","PAHA"
1920,0,"A1","PAOB"
1920,0,"A1","PLMU3"
1920,0,"A1","SCBR2"
1920,0,"A1","SELE6"
1920,0,"A1","SPAI"
1920,0,"A1","SPCO4"
1920,0,"A1","SPCR"
1920,0,"A1","SPFL2"
1920,0,"A1","SPORO"
1920,0,"A1","UNKG"
1921,0.005311,"A1","ARIST"
1921,0,"A1","ARTE3"
1921,0.0308075,"A1","BOER4"
1921,0,"A1","BOUTE"
1921,0.00053625,"A1","CYPER"
1921,0,"A1","DAPU7"
1921,0,"A1","ENDE"
1921,0,"A1","ERLE"
1921,0,"A1","MUAR"
1921,0,"A1","MUAR2"
1921,0,"A1","MUPO2"
1921,0,"A1","PAHA"
1921,0,"A1","PAOB"
1921,0,"A1","PLMU3"
1921,0,"A1","SCBR2"
1921,0,"A1","SELE6"
1921,0,"A1","SPAI"
1921,0,"A1","SPCO4"
1921,0,"A1","SPCR"
1921,0,"A1","SPFL2"
1921,0,"A1","SPORO"
1921,0,"A1","UNKG"
1922,0.00061575,"A1","ARIST"
1922,0,"A1","ARTE3"
1922,0.01534908,"A1","BOER4"
1922,0,"A1","BOUTE"
1922,0,"A1","CYPER"
1922,0,"A1","DAPU7"
1922,0,"A1","ENDE"
1922,0,"A1","ERLE"
1922,0,"A1","MUAR"
1922,0,"A1","MUAR2"
