Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,0.02,0.35,-0.05,-0.58,-0.03,-0.66,1.46,1.81,8.32,1.42,1.68,1.31
1896,0.87,0.11,-1.17,-1.53,-1.98,-1.87,0.05,-0.97,7.6,2.6,2.22,1.34
1897,1.67,1.19,0.99,0.75,1.54,0.77,1.37,1.5,9.47,2.62,1.74,0.9
1898,1.09,-0.18,-0.52,-0.23,-0.57,1.22,2.25,2.61,9.36,1.26,1.05,1.55
1899,1.25,1.03,0.88,0.3,-0.71,-0.71,0.94,-0.66,6.95,-1.68,-1.32,-1.56
1900,-1.71,-1.64,-1.25,-1.31,-1.18,-1.65,-1.7,-2.31,6.97,-1.38,-1.48,-1.87
1901,-1.95,-1.16,-0.6,-0.76,-1.03,-1.07,-0.14,-1.04,6.68,0.76,1.3,0.49
1902,-0.59,-1.51,-1.91,-2.29,-2.29,-2.64,-2.48,-1.98,6.15,-2.4,-1.99,-1.36
1903,-1.17,1.08,1.91,1.92,1.84,3.73,2.41,1.92,8.3,1.21,-0.06,-1.29
1904,-1.9,-2.61,-3.13,-3.31,-3.33,-2.95,-2.92,-2.61,7.62,2.64,2.28,2.3
1905,2.7,3.95,5.73,7.41,7.86,8.57,7.89,6.44,10.67,5.36,6.85,6.72
1906,6.36,6.29,6.03,6.32,6.18,5.13,4.98,5.24,9.19,3.62,4.31,4.72
1907,4.55,3.66,2.71,2.29,2.19,2.12,1.21,1.87,8.44,2.19,2.44,1.4
1908,1.06,0.9,-0.53,-0.49,-0.73,-1.31,-0.55,1.52,7.51,-1.04,-0.8,-1.39
1909,-2.33,-2.56,-2.08,-2.32,-2.57,-2.34,-2.58,-2.58,5.51,-3.05,-3.41,-3.06
1910,-3.2,-3.4,-3.89,-3.79,-4.01,-3.28,-3.96,-3.86,4.16,-4.65,-4.46,-4.52
1911,-4.5,-3.2,-2.34,-2.03,-2.31,-1.71,2.56,1.17,7.69,0.91,-0.29,-0.29
1912,-1.19,-1.34,-1.36,-0.62,-1.17,-0.54,-0.63,2.16,8.69,2.07,1.79,1.75
1913,1.76,2.27,2.47,2.9,2.22,2.3,1.44,0.51,7.09,-1.2,-0.09,1.22
1914,0.42,-0.07,-0.76,-1,-0.19,1.86,3.03,2.67,8.71,1.78,1.24,3.44
1915,3.69,3.97,5.13,6.36,6.8,6.02,6.17,5.43,10.03,4.36,3.37,2.75
