PRISM Time Series Data
Location:  Lat: 32.6193   Lon: -106.7418   Elev: 4327ft
"Climate variables: ppt,tmean,vpdmax"
Spatial resolution: 4km
Period: 1915-01 - 2017-01
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2020-Sep-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F),vpdmax (hPa)
1915-01,0.72,37.6,8.98
1915-02,1.04,42.6,11.03
1915-03,1.04,45.2,13.79
1915-04,0.19,57.3,22.46
1915-05,0.00,63.1,32.33
1915-06,0.00,72.3,46.76
1915-07,2.45,77.6,40.27
1915-08,1.72,74.1,32.97
1915-09,1.69,68.5,27.16
1915-10,0.00,58.7,28.81
1915-11,0.00,45.5,18.34
1915-12,0.32,38.7,11.08
1916-01,0.33,45.1,11.99
1916-02,0.11,47.2,17.79
1916-03,0.70,53.5,23.02
1916-04,0.12,57.3,24.48
1916-05,1.21,65.5,34.99
1916-06,0.00,76.5,53.01
1916-07,1.00,76.0,38.76
1916-08,1.34,75.4,32.84
1916-09,0.99,68.8,28.84
1916-10,2.18,60.5,23.85
1916-11,0.31,45.6,17.39
1916-12,0.17,38.2,10.72
1917-01,0.44,40.2,9.99
1917-02,0.00,42.7,14.53
1917-03,0.00,45.5,16.67
1917-04,0.02,54.5,25.00
1917-05,0.39,58.9,26.08
1917-06,0.06,71.2,41.70
1917-07,0.60,79.9,43.89
1917-08,2.57,76.0,35.77
1917-09,0.33,69.6,29.52
1917-10,0.09,59.5,28.18
1917-11,0.14,49.6,20.24
1917-12,0.00,44.3,16.25
1918-01,0.73,37.0,10.20
1918-02,0.09,46.9,15.65
1918-03,0.00,51.6,18.91
1918-04,0.00,56.9,24.49
1918-05,0.09,64.5,32.46
1918-06,0.97,78.7,47.94
1918-07,1.52,78.3,42.29
1918-08,2.78,75.9,36.67
1918-09,0.00,70.2,33.60
1918-10,1.00,60.3,24.14
1918-11,1.62,45.1,11.98
1918-12,0.77,36.1,7.92
1919-01,0.00,36.3,9.75
1919-02,0.00,38.7,12.12
1919-03,1.52,48.5,16.01
1919-04,0.82,59.1,24.83
1919-05,0.28,65.4,34.32
1919-06,0.23,72.9,40.16
1919-07,2.93,76.5,33.92
1919-08,2.38,77.4,39.85
1919-09,2.54,69.4,24.44
1919-10,0.66,60.1,20.50
1919-11,0.75,47.6,14.71
1919-12,0.44,42.6,12.20
1920-01,0.73,41.2,10.37
1920-02,0.44,47.8,13.78
1920-03,0.33,47.9,16.89
1920-04,0.02,54.0,21.65
1920-05,0.84,65.9,34.65
1920-06,1.53,72.5,37.61
1920-07,1.45,78.3,42.15
1920-08,3.12,74.0,31.27
1920-09,0.81,70.0,32.31
1920-10,2.06,57.2,22.74
1920-11,0.17,46.3,15.31
1920-12,0.00,35.5,11.27
1921-01,0.16,42.6,13.45
1921-02,0.15,43.4,15.92
1921-03,0.24,52.9,22.14
1921-04,0.11,54.9,24.90
1921-05,0.01,65.6,34.40
1921-06,0.97,74.1,41.73
1921-07,1.68,76.6,33.66
1921-08,1.35,76.6,36.91
1921-09,1.48,72.4,32.65
1921-10,0.16,61.7,27.19
1921-11,0.19,48.7,18.83
1921-12,0.24,44.1,12.43
1922-01,0.31,38.4,10.19
1922-02,0.00,44.8,14.97
1922-03,0.07,46.9,18.83
1922-04,0.29,55.3,23.11
1922-05,0.00,67.7,37.28
1922-06,0.17,78.1,48.36
1922-07,0.37,80.7,45.58
1922-08,1.71,80.3,42.13
1922-09,1.06,72.3,32.50
1922-10,0.44,60.1,23.65
1922-11,0.45,43.2,11.06
1922-12,0.18,41.1,10.11
1923-01,0.36,42.8,12.77
1923-02,1.22,42.5,8.98
1923-03,0.72,46.6,14.78
1923-04,0.27,56.5,20.94
1923-05,0.00,67.2,35.80
1923-06,0.00,76.8,45.53
1923-07,0.79,79.1,42.29
1923-08,1.83,75.0,31.85
1923-09,1.62,68.7,28.08
1923-10,0.23,57.7,21.73
1923-11,0.68,46.6,11.74
1923-12,1.50,37.5,6.66
1924-01,0.15,37.8,10.41
1924-02,0.13,44.4,14.64
1924-03,0.50,46.3,15.57
1924-04,0.18,56.1,23.15
1924-05,0.18,66.1,34.07
1924-06,0.10,80.2,57.82
1924-07,3.21,79.2,40.18
1924-08,0.40,79.2,45.06
1924-09,0.22,71.8,36.17
1924-10,0.27,61.1,28.10
1924-11,0.14,49.9,20.35
1924-12,0.38,37.7,9.12
1925-01,0.04,34.9,11.12
1925-02,0.24,46.6,17.26
1925-03,0.05,53.0,24.45
1925-04,0.02,60.8,31.29
1925-05,0.82,69.1,37.60
1925-06,0.19,74.2,46.43
1925-07,1.84,80.1,44.78
1925-08,1.44,75.9,35.80
1925-09,0.85,71.5,34.00
1925-10,1.44,61.2,22.10
1925-11,0.00,45.6,16.13
1925-12,0.32,36.0,9.72
1926-01,0.55,33.6,8.13
1926-02,0.05,44.9,17.10
1926-03,1.47,48.2,15.26
1926-04,0.48,57.0,22.06
1926-05,2.21,64.7,30.20
1926-06,0.08,75.3,48.66
1926-07,4.35,76.6,36.07
1926-08,0.52,76.2,41.33
1926-09,3.14,73.6,32.91
1926-10,2.38,61.1,23.21
1926-11,0.05,48.2,17.09
1926-12,1.62,40.0,9.27
1927-01,0.02,43.0,15.29
1927-02,0.24,48.5,16.09
1927-03,0.46,48.6,18.72
1927-04,0.00,58.8,27.97
1927-05,0.00,69.8,38.79
1927-06,0.50,74.3,46.47
1927-07,1.54,80.2,44.35
1927-08,2.33,76.2,35.11
1927-09,2.40,71.2,30.43
1927-10,0.03,58.6,27.73
1927-11,0.00,52.0,22.53
1927-12,0.58,37.2,8.63
1928-01,0.00,41.7,13.59
1928-02,0.86,42.7,11.85
1928-03,0.00,51.5,22.39
1928-04,0.09,54.7,26.57
1928-05,1.36,66.4,33.25
1928-06,0.00,74.4,50.04
1928-07,1.26,78.8,45.89
1928-08,2.71,75.1,32.04
1928-09,0.08,69.4,32.99
1928-10,2.32,61.8,25.56
1928-11,1.02,46.5,13.23
1928-12,0.12,38.5,11.24
1929-01,0.00,38.3,12.68
1929-02,0.17,42.1,12.55
1929-03,0.53,50.2,18.40
1929-04,0.00,60.6,29.23
1929-05,2.00,65.6,32.76
1929-06,0.01,76.7,49.60
1929-07,2.73,78.0,36.89
1929-08,2.82,75.1,32.43
1929-09,0.62,70.5,29.75
1929-10,1.17,59.2,19.94
1929-11,0.67,42.2,12.58
1929-12,0.21,39.2,11.65
1930-01,0.22,38.7,10.19
1930-02,0.08,46.6,18.33
1930-03,0.20,47.6,17.38
1930-04,0.05,61.8,32.26
1930-05,0.12,63.5,32.68
1930-06,0.46,77.2,49.00
1930-07,2.03,79.5,39.17
1930-08,1.77,77.8,39.22
1930-09,0.06,71.5,36.79
1930-10,0.30,61.1,25.26
1930-11,0.72,46.1,13.83
1930-12,0.68,37.7,9.88
1931-01,0.83,39.0,10.07
1931-02,1.53,45.5,10.79
1931-03,0.00,48.5,18.87
1931-04,2.02,58.0,23.18
1931-05,0.38,66.5,35.67
1931-06,0.25,75.9,46.86
1931-07,1.24,80.0,42.97
1931-08,3.74,75.0,33.14
1931-09,1.92,74.6,34.67
1931-10,0.57,62.2,28.39
1931-11,0.75,47.0,14.49
1931-12,1.15,37.7,8.80
1932-01,0.46,36.1,9.05
1932-02,0.59,47.3,14.66
1932-03,0.13,46.7,17.00
1932-04,0.10,58.4,29.77
1932-05,0.48,63.4,36.32
1932-06,0.25,71.7,49.32
1932-07,1.90,78.8,41.76
1932-08,2.09,77.3,37.44
1932-09,1.68,68.5,29.07
1932-10,0.77,57.8,21.18
1932-11,0.00,47.5,17.20
1932-12,1.33,35.9,9.09
1933-01,0.33,38.1,10.24
1933-02,0.30,40.0,12.72
1933-03,0.00,53.3,21.30
1933-04,0.18,53.9,23.26
1933-05,0.04,62.6,34.71
1933-06,2.66,74.7,42.87
1933-07,1.44,79.5,42.42
1933-08,1.98,77.8,38.73
1933-09,0.99,75.0,38.91
1933-10,0.38,62.2,27.35
1933-11,0.28,48.3,18.88
1933-12,0.00,42.1,17.14
1934-01,0.00,37.3,14.07
1934-02,0.15,46.6,18.05
1934-03,0.54,53.0,23.36
1934-04,0.07,61.8,30.90
1934-05,0.25,71.3,42.26
1934-06,0.14,75.7,48.88
1934-07,0.84,81.5,48.75
1934-08,1.07,80.3,42.85
1934-09,0.11,72.1,37.37
1934-10,0.89,62.4,29.80
1934-11,0.27,48.7,17.03
1934-12,0.19,42.6,12.82
1935-01,0.39,43.1,12.87
1935-02,0.22,43.4,12.90
1935-03,0.08,51.9,20.19
1935-04,0.07,59.1,26.99
1935-05,0.72,63.1,28.62
1935-06,0.98,76.0,46.14
1935-07,0.87,81.4,43.55
1935-08,3.87,77.8,33.87
1935-09,1.88,68.9,26.47
1935-10,0.00,61.7,28.36
1935-11,0.92,46.1,15.69
