PRISM Time Series Data
Location:  Lat: 32.6193   Lon: -106.7418   Elev: 1319m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2020-01
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2021-Aug-06
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1895-01,8.86,-2.6,5.1,12.8,-7.2,1.39,10.62
1895-02,12.86,-5.6,3.9,13.5,-8.3,1.26,11.11
1895-03,0.53,0.2,10.3,20.4,-8.5,2.87,20.65
1895-04,0.00,3.6,14.6,25.7,-6.9,4.07,29.43
1895-05,15.88,7.4,18.2,29.0,-1.0,4.93,34.98
1895-06,6.13,11.5,22.5,33.5,1.6,6.40,44.96
1895-07,91.21,16.1,24.7,33.2,12.0,4.76,36.90
1895-08,69.49,15.2,23.9,32.5,12.5,2.96,34.58
1895-09,27.63,13.5,21.7,29.9,7.0,4.60,32.80
1895-10,25.98,3.6,12.9,22.2,1.8,1.41,20.58
1895-11,12.35,-2.1,6.8,15.7,-5.2,1.44,13.25
1895-12,4.95,-8.3,1.4,11.1,-8.8,0.74,9.78
1896-01,5.45,-4.3,5.2,14.7,-7.7,1.25,13.19
1896-02,2.06,-3.4,5.8,14.9,-8.1,1.58,13.54
1896-03,0.68,0.9,11.1,21.3,-7.9,3.09,21.46
1896-04,0.51,4.2,14.6,24.9,-7.0,4.57,28.26
1896-05,1.32,9.4,20.5,31.5,-4.5,6.47,42.36
1896-06,14.66,14.4,24.8,35.2,2.4,8.81,51.12
1896-07,74.79,17.3,25.0,32.6,12.1,5.38,36.06
1896-08,36.42,15.6,24.5,33.4,11.1,4.20,39.18
1896-09,63.38,13.2,21.3,29.3,9.3,3.52,29.31
1896-10,44.00,6.7,14.2,21.7,4.9,1.63,17.28
1896-11,0.16,0.2,9.8,19.3,-6.2,2.24,17.85
1896-12,3.24,-4.3,5.6,15.4,-5.9,1.03,13.29
1897-01,18.38,-5.1,2.4,9.9,-6.4,0.92,8.24
1897-02,0.00,-3.7,5.8,15.3,-7.1,1.46,13.17
1897-03,6.47,-1.2,8.8,18.8,-8.4,2.41,18.10
1897-04,6.20,3.5,14.3,25.0,-5.4,3.55,27.22
1897-05,25.90,9.8,19.6,29.5,-0.7,5.84,34.75
1897-06,5.66,13.5,23.3,33.1,1.2,7.88,43.97
1897-07,57.22,17.0,24.9,32.7,11.0,5.85,37.30
1897-08,62.44,15.3,23.7,32.0,11.6,3.72,34.87
1897-09,75.40,12.7,20.1,27.5,10.3,2.72,25.34
1897-10,14.13,5.3,14.2,23.1,1.9,2.22,21.26
1897-11,0.00,-2.1,8.7,19.6,-6.6,1.77,18.60
1897-12,1.12,-7.5,2.8,13.0,-8.7,0.86,11.40
1898-01,12.90,-6.7,2.3,11.4,-7.9,0.87,9.79
1898-02,1.60,-2.4,7.9,18.1,-6.6,1.63,16.77
1898-03,7.24,-1.1,8.6,18.3,-7.4,2.23,17.36
1898-04,16.55,6.0,15.1,24.3,-3.2,4.20,25.74
1898-05,6.72,6.2,16.9,27.6,-3.9,4.46,32.42
1898-06,37.50,13.0,22.4,31.9,4.1,6.42,40.01
1898-07,77.92,17.0,24.4,31.8,12.5,4.93,33.63
1898-08,73.49,15.6,23.8,32.1,12.6,3.09,33.89
1898-09,26.67,11.6,20.4,29.2,7.8,3.12,30.41
1898-10,0.00,1.6,13.5,25.5,-0.4,1.05,26.75
1898-11,7.96,-1.6,8.3,18.2,-5.6,1.65,16.50
1898-12,26.03,-7.1,0.4,8.0,-7.0,0.61,7.16
1899-01,4.08,-7.1,2.8,12.7,-8.9,0.98,11.05
1899-02,3.02,-4.5,5.2,14.9,-10.0,1.70,13.23
1899-03,3.88,0.5,10.9,21.2,-7.6,2.90,21.28
1899-04,4.59,4.4,14.2,24.0,-5.9,4.03,26.24
1899-05,0.00,7.3,17.8,28.3,-5.3,5.52,34.43
1899-06,14.57,13.5,22.9,32.3,2.0,7.91,42.35
1899-07,74.75,18.5,25.7,32.9,12.0,7.02,36.90
1899-08,27.69,17.1,25.4,33.7,10.5,5.90,39.89
1899-09,23.83,12.8,21.8,30.9,7.2,4.35,35.08
1899-10,0.00,6.1,15.4,24.8,0.2,3.17,25.22
1899-11,15.58,-0.3,9.5,19.2,-3.4,1.57,17.03
1899-12,7.65,-5.3,4.0,13.2,-7.4,1.04,11.53
1900-01,9.87,-4.0,5.9,15.9,-6.1,1.16,13.75
1900-02,9.38,-3.4,6.7,16.8,-7.3,1.56,15.29
1900-03,24.73,1.0,11.1,21.2,-5.4,2.51,20.05
1900-04,0.16,2.1,11.9,21.7,-7.0,3.65,21.86
1900-05,13.16,8.3,19.2,30.2,-3.7,5.68,38.47
1900-06,2.74,13.7,24.4,35.2,0.7,8.06,50.22
1900-07,36.78,17.1,25.9,34.6,9.7,7.02,44.67
1900-08,27.63,15.2,25.0,34.9,10.3,4.39,43.94
1900-09,54.49,13.5,21.9,30.3,8.8,3.88,30.98
1900-10,4.61,5.6,15.5,25.3,0.8,2.69,25.63
1900-11,0.00,-2.4,8.7,19.7,-4.9,1.27,18.72
1900-12,2.55,-6.8,3.8,14.5,-8.6,0.96,13.06
1901-01,6.33,-4.1,5.3,14.7,-6.8,1.18,12.65
1901-02,26.20,-0.9,7.1,15.0,-3.2,1.38,11.67
1901-03,11.50,-1.5,8.7,18.9,-8.2,2.24,18.36
1901-04,3.88,2.0,12.8,23.5,-6.4,3.29,24.99
1901-05,7.10,8.8,19.1,29.3,-2.8,6.09,36.08
1901-06,14.29,12.5,23.1,33.8,0.9,7.25,46.27
1901-07,59.59,17.3,25.6,33.9,10.5,6.45,41.35
1901-08,38.72,16.9,25.9,34.9,11.0,5.72,43.93
1901-09,27.07,12.6,21.9,31.1,6.4,4.68,36.05
1901-10,57.90,6.8,15.6,24.4,4.0,2.00,22.67
1901-11,24.48,0.8,10.0,19.3,-2.1,1.61,17.15
1901-12,2.02,-5.2,4.8,14.8,-8.2,1.19,13.11
1902-01,1.39,-4.7,5.1,14.9,-7.8,1.30,13.09
1902-02,0.00,-3.4,7.0,17.4,-8.5,1.72,16.16
1902-03,1.37,-1.8,8.2,18.2,-9.1,2.37,17.66
1902-04,0.00,4.4,15.9,27.5,-6.2,4.19,32.55
1902-05,7.96,8.4,19.1,29.7,-3.1,5.71,37.13
1902-06,3.40,13.9,25.1,36.3,1.0,8.42,52.13
1902-07,41.76,16.0,24.4,32.7,10.3,5.37,38.12
1902-08,66.29,16.1,24.2,32.3,11.7,4.26,38.43
1902-09,27.35,11.6,20.1,28.5,7.9,2.95,28.13
1902-10,0.00,3.7,15.1,26.6,-0.8,2.30,28.04
1902-11,11.76,-2.0,8.3,18.6,-4.6,1.36,16.19
1902-12,25.88,-4.3,4.4,13.0,-6.1,1.06,10.88
1903-01,10.45,-4.8,4.5,13.8,-7.1,1.14,12.04
1903-02,22.86,-5.3,3.7,12.6,-7.7,1.15,10.83
1903-03,8.75,-1.9,8.5,18.9,-8.6,2.22,17.85
1903-04,1.42,4.9,14.5,24.1,-6.4,4.53,26.13
1903-05,7.64,7.1,17.3,27.5,-3.7,5.07,32.37
1903-06,66.27,12.0,21.3,30.7,5.3,5.08,34.68
1903-07,19.04,16.7,26.0,35.4,9.1,6.68,47.07
1903-08,43.31,16.3,24.9,33.4,11.2,4.87,39.20
1903-09,54.57,12.1,20.6,29.1,8.2,3.16,29.02
1903-10,0.00,2.3,13.7,25.0,-2.4,2.16,26.34
1903-11,0.00,-3.3,8.8,21.0,-7.5,1.56,20.97
1903-12,0.57,-7.5,3.3,14.1,-9.7,0.96,12.96
1904-01,0.00,-9.7,1.9,13.5,-11.6,0.90,12.52
1904-02,1.88,-3.3,8.2,19.8,-8.2,1.68,19.40
1904-03,0.00,-0.0,11.4,22.7,-8.7,2.95,24.19
1904-04,0.00,3.5,14.9,26.3,-7.1,3.89,30.89
1904-05,4.40,7.9,18.5,29.1,-4.8,5.89,38.11
1904-06,14.39,14.0,23.6,33.2,2.4,7.89,42.99
1904-07,34.88,16.5,25.4,34.2,10.2,5.83,40.87
1904-08,51.61,16.1,24.3,32.6,11.8,4.28,36.37
1904-09,88.31,12.8,20.5,28.3,10.3,2.46,25.75
1904-10,38.55,7.0,14.7,22.4,3.6,2.32,18.92
1904-11,9.17,-3.0,7.5,18.0,-7.1,1.60,17.09
1904-12,21.30,-4.7,4.0,12.7,-6.3,0.94,10.66
1905-01,24.15,-3.9,5.1,14.1,-5.4,1.04,11.70
1905-02,37.87,-0.8,6.2,13.1,-1.9,1.05,9.62
1905-03,52.90,2.3,10.1,17.9,-0.8,1.79,14.80
1905-04,32.83,3.9,12.6,21.2,-1.8,2.81,19.79
1905-05,0.61,7.2,17.8,28.4,-4.1,5.26,32.87
1905-06,41.58,14.8,24.5,34.1,4.4,7.96,44.92
1905-07,46.56,15.7,24.6,33.5,10.3,5.15,40.26
1905-08,32.54,16.6,25.4,34.2,10.3,5.83,41.94
1905-09,53.27,13.9,21.6,29.4,8.4,4.44,30.62
1905-10,12.20,6.5,15.2,24.0,0.8,3.13,23.26
1905-11,57.19,2.8,9.6,16.4,1.3,1.19,12.11
1905-12,22.91,-5.8,1.8,9.3,-7.2,0.92,8.03
1906-01,13.43,-5.6,3.3,12.2,-7.5,1.02,10.69
1906-02,21.17,-1.0,7.3,15.7,-4.5,1.62,13.25
1906-03,2.51,1.2,10.7,20.3,-7.8,3.06,20.04
1906-04,10.78,4.8,14.5,24.2,-3.0,3.58,24.79
1906-05,7.88,6.9,18.0,29.2,-4.8,5.14,36.30
1906-06,0.00,13.4,24.6,35.8,-0.6,8.33,53.43
1906-07,48.01,17.2,25.1,33.1,11.4,5.89,37.58
1906-08,83.74,16.1,23.6,31.1,12.0,4.18,31.35
1906-09,27.31,11.6,21.0,30.4,6.5,3.70,33.36
1906-10,9.05,3.6,14.3,25.1,-1.8,2.59,26.63
1906-11,38.92,0.9,8.7,16.4,-1.8,1.60,12.96
1906-12,39.83,-0.7,6.7,14.2,-3.0,1.33,11.13
1907-01,17.12,-0.7,7.1,15.0,-3.7,1.46,11.97
1907-02,0.31,-0.5,9.4,19.3,-6.5,2.21,18.47
1907-03,0.00,2.0,12.6,23.1,-7.2,3.28,24.31
1907-04,0.04,5.7,15.5,25.2,-5.2,4.83,27.56
1907-05,11.86,6.6,16.5,26.4,-3.9,4.87,29.75
1907-06,13.97,11.6,22.3,33.1,0.3,6.59,44.21
1907-07,27.44,17.9,26.2,34.5,9.8,7.67,43.12
1907-08,85.03,17.5,25.4,33.2,13.1,4.84,36.40
1907-09,40.83,13.4,21.6,29.8,7.4,4.58,32.20
1907-10,28.82,6.9,15.3,23.8,3.1,2.35,21.79
1907-11,18.66,1.0,8.1,15.2,-3.2,1.98,12.34
1907-12,0.00,-3.5,5.9,15.3,-7.0,1.44,13.29
1908-01,8.68,-4.0,5.0,14.0,-7.1,1.27,12.45
1908-02,10.91,-1.8,7.0,15.8,-6.1,1.65,13.76
1908-03,5.22,1.9,12.2,22.5,-6.8,3.10,23.76
1908-04,8.24,6.0,15.0,24.0,-3.9,4.59,25.36
1908-05,7.91,7.4,17.4,27.4,-4.3,5.26,32.59
1908-06,0.16,12.1,23.2,34.4,-0.7,7.40,49.01
1908-07,55.56,17.3,25.0,32.8,11.5,6.00,36.95
1908-08,88.89,16.9,24.4,31.9,12.8,4.43,32.80
1908-09,2.43,11.0,20.5,29.9,6.0,3.62,33.38
1908-10,1.67,2.6,13.3,24.0,-2.5,2.34,25.22
1908-11,16.13,-2.0,7.8,17.6,-5.6,1.54,16.35
1908-12,0.21,-3.0,5.1,13.3,-6.7,1.45,11.67
1909-01,0.03,-1.8,7.7,17.3,-5.7,1.61,15.84
1909-02,0.00,-2.9,6.5,15.9,-7.7,1.80,14.69
1909-03,16.28,-1.0,8.3,17.5,-7.7,2.37,16.73
1909-04,0.00,3.4,13.8,24.3,-7.6,3.98,27.28
1909-05,0.00,7.1,17.3,27.5,-5.7,5.51,33.57
1909-06,15.37,14.7,24.6,34.4,1.2,9.06,48.73
1909-07,33.22,18.8,26.6,34.4,10.2,8.63,43.21
1909-08,46.66,17.3,25.1,32.8,11.6,5.67,37.19
1909-09,21.39,12.2,20.7,29.1,7.2,3.85,31.22
1909-10,3.99,5.1,15.7,26.4,-0.8,3.09,29.26
1909-11,0.00,0.2,10.3,20.3,-5.5,2.16,19.82
1909-12,12.33,-5.5,1.9,9.3,-7.9,1.08,8.00
1910-01,0.91,-3.0,5.8,14.5,-6.9,1.45,12.61
1910-02,0.26,-3.0,6.5,16.1,-9.5,1.94,15.15
1910-03,3.09,3.2,13.3,23.4,-6.8,3.60,25.66
1910-04,3.22,5.1,15.2,25.4,-6.4,4.69,29.25
1910-05,0.00,10.8,20.5,30.2,-4.1,7.64,39.48
1910-06,24.43,15.5,25.2,34.8,2.4,9.28,49.65
1910-07,16.86,18.7,27.4,36.2,8.6,9.47,49.68
1910-08,54.51,18.4,26.7,34.9,11.6,7.09,42.81
1910-09,7.57,14.8,23.3,31.8,6.6,6.28,37.95
1910-10,2.17,5.9,15.7,25.6,-0.1,3.04,27.42
1910-11,7.52,0.0,10.3,20.5,-5.3,2.05,20.22
1910-12,5.04,-2.9,6.0,14.9,-7.0,1.51,13.30
1911-01,7.05,-1.7,7.4,16.5,-5.2,1.52,14.54
1911-02,33.70,-0.5,7.1,14.6,-1.8,1.12,11.58
1911-03,24.00,3.5,12.6,21.7,-4.6,3.35,22.02
1911-04,7.03,4.7,14.1,23.5,-4.1,3.93,24.98
1911-05,1.57,9.0,19.6,30.2,-5.1,6.57,39.52
1911-06,27.69,14.6,23.9,33.1,2.2,8.43,44.67
1911-07,93.06,17.8,24.7,31.5,12.8,5.70,32.54
1911-08,20.90,16.5,25.8,35.0,10.0,6.47,45.16
1911-09,35.90,14.9,23.0,31.1,8.5,5.40,34.78
1911-10,8.69,6.0,15.0,24.1,0.9,2.94,23.78
1911-11,0.36,-1.4,7.2,15.7,-6.7,1.85,14.17
1911-12,11.93,-7.2,1.3,9.8,-9.1,0.88,8.55
1912-01,0.00,-5.6,4.4,14.4,-9.3,1.35,13.05
1912-02,3.96,-3.9,5.8,15.4,-8.4,1.56,14.82
1912-03,8.49,0.8,9.8,18.7,-6.0,2.75,18.12
1912-04,21.27,3.2,12.1,21.0,-4.1,3.06,20.29
1912-05,0.76,8.1,18.7,29.4,-4.6,5.91,36.90
1912-06,26.33,14.9,24.1,33.2,2.4,9.02,44.78
1912-07,39.13,17.6,25.8,34.1,10.1,7.14,42.49
1912-08,108.15,16.5,24.2,31.9,13.8,3.08,32.00
1912-09,31.63,11.3,19.6,27.9,8.1,2.73,27.10
1912-10,31.75,5.5,14.1,22.7,1.7,2.31,21.12
1912-11,9.50,-2.9,7.1,17.1,-5.9,1.36,15.61
1912-12,15.85,-7.0,1.3,9.5,-8.2,0.88,8.62
1913-01,11.33,-7.1,2.0,11.1,-9.0,1.01,10.09
1913-02,17.78,-2.8,5.3,13.5,-5.3,1.31,11.26
1913-03,3.44,-1.2,8.3,17.8,-7.9,2.35,16.74
1913-04,19.59,2.8,13.1,23.3,-3.8,2.88,24.04
1913-05,0.42,9.3,19.7,30.0,-4.2,6.71,38.73
1913-06,21.02,13.7,22.8,31.8,2.7,7.83,39.99
1913-07,24.45,16.5,25.7,34.9,9.2,6.45,45.02
1913-08,41.63,16.6,24.8,33.0,10.8,5.42,37.92
1913-09,31.64,10.8,18.8,26.8,9.5,1.62,23.83
1913-10,0.00,5.5,15.1,24.7,-0.1,3.05,25.16
1913-11,27.03,2.0,10.3,18.6,-0.6,1.55,15.73
1913-12,29.46,-3.5,3.2,9.9,-4.3,0.90,7.55
1914-01,0.81,-2.6,6.6,15.7,-5.0,1.26,13.49
1914-02,3.27,-2.7,6.6,15.9,-6.5,1.56,14.07
1914-03,2.72,-1.1,8.9,18.8,-8.0,2.37,18.69
1914-04,6.01,5.2,14.9,24.7,-4.8,4.25,26.84
1914-05,18.43,9.6,19.2,28.9,0.7,5.26,33.42
1914-06,69.92,15.8,24.1,32.4,6.1,8.00,39.70
1914-07,77.33,16.9,24.2,31.6,12.8,4.21,31.64
1914-08,52.82,15.9,24.7,33.6,11.5,4.20,38.54
1914-09,15.34,14.4,22.9,31.3,8.0,5.41,34.80
1914-10,12.23,5.6,15.1,24.7,2.2,2.25,24.64
1914-11,10.30,1.8,10.7,19.5,-2.7,2.15,18.05
1914-12,79.01,-2.6,3.7,9.9,-1.7,0.33,6.79
1915-01,18.30,-5.2,3.1,11.3,-4.8,0.46,8.98
1915-02,26.40,-2.3,5.9,14.1,-2.9,0.80,11.03
1915-03,26.31,-1.4,7.3,16.1,-4.2,1.42,13.79
1915-04,4.71,5.2,14.1,22.9,-2.7,3.74,22.46
1915-05,0.00,7.1,17.3,27.5,-4.4,5.14,32.33
1915-06,0.00,10.8,22.4,34.0,1.0,5.75,46.76
1915-07,62.27,16.9,25.4,33.8,10.6,6.23,40.27
1915-08,43.81,15.1,23.4,31.6,11.1,4.04,32.97
1915-09,42.82,11.7,20.3,28.9,10.4,1.64,27.16
1915-10,0.00,3.9,14.9,25.8,-1.6,2.61,28.81
1915-11,0.00,-4.6,7.5,19.7,-5.9,0.75,18.34
1915-12,8.13,-5.7,3.7,13.2,-6.1,0.67,11.08
1916-01,8.35,-1.0,7.3,15.6,-1.9,0.99,11.99
1916-02,2.67,-2.1,8.4,19.0,-5.5,1.40,17.79
1916-03,17.73,1.5,12.0,22.4,-5.6,2.73,23.02
1916-04,3.07,4.4,14.1,23.7,-4.4,3.95,24.48
1916-05,30.82,8.3,18.6,28.9,-3.2,5.26,34.99
1916-06,0.00,13.6,24.7,35.8,-0.1,8.37,53.01
1916-07,25.40,17.0,24.4,31.9,9.5,6.76,38.76
1916-08,34.12,16.2,24.1,32.0,12.9,3.49,32.84
1916-09,25.19,11.8,20.4,29.0,8.7,2.46,28.84
1916-10,55.36,7.0,15.8,24.7,4.3,2.07,23.85
1916-11,7.75,-3.5,7.6,18.6,-5.8,1.14,17.39
1916-12,4.25,-5.7,3.4,12.6,-7.6,1.02,10.72
1917-01,11.16,-3.4,4.6,12.6,-4.3,0.83,9.99
1917-02,0.00,-4.3,5.9,16.1,-7.1,1.19,14.53
1917-03,0.00,-2.4,7.5,17.5,-9.2,2.20,16.67
1917-04,0.53,1.6,12.5,23.4,-7.5,3.24,25.00
1917-05,9.89,4.9,14.9,25.0,-2.6,3.42,26.08
1917-06,1.54,11.3,21.8,32.3,0.8,5.85,41.70
1917-07,15.20,18.5,26.6,34.7,9.5,8.33,43.89
1917-08,65.39,16.1,24.5,32.8,12.3,3.77,35.77
1917-09,8.43,12.6,20.9,29.1,8.5,3.33,29.52
1917-10,2.28,4.2,15.3,26.4,-0.3,2.22,28.18
1917-11,3.65,-1.1,9.8,20.7,-5.8,1.88,20.24
1917-12,0.00,-4.1,6.8,17.8,-6.2,1.05,16.25
1918-01,18.60,-6.0,2.8,11.6,-7.6,0.99,10.20
1918-02,2.38,-1.1,8.3,17.6,-4.9,1.68,15.65
1918-03,0.00,1.8,10.9,20.0,-4.9,2.66,18.91
1918-04,0.00,4.6,13.8,23.1,-7.6,4.60,24.49
