Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1895,0.47,1.01,-0.63,-0.43,0.96,0.5,1.53,0.85,-0.09,0.75,1.02,-0.03
1896,-0.36,-0.22,-1.09,-0.38,-1.49,-0.17,1.21,-0.75,0.79,1.9,-0.56,-0.92
1897,1.16,-0.46,0.56,0.22,0.87,0.21,0.82,0.67,1.45,0.69,-0.99,-0.56
1898,0.85,-1.16,0.69,0.52,0.83,1.69,1.4,0.75,0.04,-0.96,0.31,1.2
1899,-0.08,0.08,-0.53,0.11,-0.02,0.51,1.11,-0.97,-0.38,-0.66,0.44,-0.42
1900,-0.49,0.31,0.88,1,0.05,-0.69,-0.17,-0.79,0.91,-0.21,-0.47,-0.8
1901,-0.26,1.28,0.67,0.65,-0.24,0.41,0.62,-0.83,-0.29,1.47,0.64,-0.97
1902,-0.89,-0.94,0.27,-1.35,-0.13,-1.02,0.37,0.5,0.25,-0.76,0.63,0.91
1903,0.17,1.62,0.88,-0.27,0.92,2.31,-1.07,-0.16,0.95,-0.46,-1.03,-0.82
1904,-0.38,-1.28,-1.25,-0.71,0.01,0.55,-0.06,0.3,1.74,1.32,0.18,0.67
1905,1.15,2.02,2.19,2.32,0.17,1.19,0.53,-0.75,0.71,-0.2,2.14,0.99
1906,0.68,0.89,-0.42,0.89,0.33,-0.91,0.67,1.12,-0.07,-0.16,1.54,1.07
1907,0.33,-1.91,-1.94,-0.41,1.41,0.98,-0.5,0.84,0.03,1.08,0.9,-1.41
1908,-0.04,0.44,-1.15,0.48,0.8,-0.07,0.9,1.11,-0.85,-0.25,0.55,-1.05
1909,-2.08,-0.46,1.34,-0.19,0.4,0.09,-0.64,-0.18,-0.11,-0.99,-1.33,0.4
1910,-1.11,-0.66,-1.94,-0.37,-1.36,0.32,-1.43,-0.54,-1.54,-0.92,-0.5,-0.88
1911,-0.87,1.64,0.13,0.67,-0.8,0.8,1.75,-1.32,-0.2,0.29,-0.23,0.46
1912,-0.98,-0.01,0.57,1.86,-0.35,0.72,0.03,1.68,0.38,0.86,0.36,0.58
1913,0.68,1.33,0.5,1.49,-1.02,1.08,-0.51,-0.42,0.56,-0.83,0.98,1.18
1914,-1.6,-0.43,0.13,-0.35,0.66,1.63,1.56,0.2,-0.75,0.58,-0.51,2.23
1915,1.13,1.11,2.09,1.18,0.14,-0.5,0.86,0.27,1.1,-0.97,-0.74,-0.23
1916,-0.49,-1.41,0.07,0.74,0.86,-1.21,0.12,0.7,-0.07,1.53,0.03,-0.49
1917,-0.19,-0.74,0.11,0.19,1.71,-0.27,-1.29,0.64,-0.28,-1.29,-1.17,-2.1
1918,0.82,-1.15,-0.92,-0.08,0.16,-0.18,-0.06,0.47,-1.22,0.68,1.51,1.21
1919,-0.33,-0.1,1.96,0.93,-0.01,0.82,0.61,-0.28,1.07,0.08,0.96,-0.84
1920,1.07,-0.12,0.5,0.82,0.11,1.71,-0.18,0.87,-0.61,1.14,-0.52,-0.78
1921,-1.19,-0.32,-0.79,0.41,0.13,0.85,0.85,-0.06,-0.15,-1.25,-0.44,-0.97
1922,0.19,-1.01,0.4,0.86,-0.3,-0.38,-1.05,-0.94,-0.6,-0.34,0.61,-1.31
1923,-0.85,1.84,1.12,0.29,-0.96,-0.91,-0.51,1.22,0.21,-0.03,1.29,1.4
1924,-0.32,-0.5,1.14,0.75,-0.29,-1.81,0.93,-1.5,-1.06,-1.08,-1.26,-0.27
1925,-0.38,-1.22,-1.39,-1.32,0.08,0.07,0.3,0.83,-0.49,0.76,-0.48,0.15
1926,1.05,-1.13,2.29,1.36,1.95,-0.5,1.17,-0.77,1,1.01,-0.76,1.4
1927,-1.59,-1.26,0.62,-0.65,-1.83,0.42,0.03,0.46,0.77,-0.99,-2.13,0.55
1928,-1.11,1.45,-1.17,0.76,1.75,-0.61,-0.63,1.15,-0.72,0.95,0.94,-0.67
1929,-0.97,0.32,0.74,-0.93,1.68,-1.07,1.04,0.97,-0.48,0.71,0.97,-0.57
1930,-0.32,-1.05,0.64,-1.08,0.84,-0.37,0.49,-0.02,-1.13,-0.38,0.95,0.38
1931,1.08,1.87,0.25,2.47,-0.08,-0.47,-0.02,1.4,-0.09,-0.86,0.83,1.09
1932,0.62,0.29,0.58,-0.36,0.63,0.38,0.25,0.1,0.88,0.56,-1.02,1.09
1933,0.12,0.99,-1.45,0.95,0.82,1.89,-0.42,-0.28,-1.14,-0.62,-0.29,-1.63
