"project_year","smoothed_grass","grass"
1916,0.0378875345819599,0.0478868
1917,0.0358802878586778,0.03209433
1918,0.0333555763851171,0.0213155
1919,0.0299827400149939,0.02198825
1920,0.0259785571452286,0.0366827
1921,0.0222486078232271,0.04203947
1922,0.0201851755920513,0.0125555
1923,0.0212025926679505,0.0162535
1924,0.0261885089007536,0.0235265
1925,0.0350845602811021,0.02027283
1926,0.0467650738891996,0.045941716
1927,0.059273440847358,0.0588204
1928,0.0703440479407824,0.07075992
1929,0.0780334617438951,0.09377052
1930,0.0812470382966002,0.08446204
1931,0.0799890855417987,0.08232063
1932,0.0752681220343503,0.07927463
1933,0.068712602653778,0.08480775
1934,0.0620492932870436,0.04999971
1935,0.0566311829937934,0.02815225
1936,0.0531649375112675,0.04577898
1937,0.0516982172411134,0.05378609
1938,0.0518231249417925,0.08136219
1939,0.0529754901002392,0.04723953
1940,0.0546890510298872,0.061299
1941,0.0567029940007261,0.05152231
1942,0.0589000726479017,0.0499825
1943,0.0611347959403491,0.0455657
1944,0.063061386923989,0.062963
1945,0.0640689464300344,0.07561695
1946,0.0633792239216316,0.07392175
1947,0.0602845910657935,0.07194685
1948,0.0544347709720399,0.04134555
1949,0.0460508191902592,0.05282094
1950,0.0359669847609548,0.036078
1951,0.025466303361798,0.021541
1952,0.0159568718471748,0.006294
1953,0.00859907743923538,0.0066676
1954,0.00401368850296249,0.0058835
1955,0.00216912698723391,0.0046409375
1956,0.00247706752794111,0.004812
1957,0.00404744164463446,0.00231155
1958,0.00599849732263938,0.009786
1959,0.00770602304509162,0.00466258
1960,0.00891066754341322,0.005671
1961,0.00966675746714406,0.008422775007885
1962,0.0101818603480197,0.010726525
1963,0.0106359968770962,0.01649602
1964,0.0110676397801423,0.0110473725
1965,0.011373594809724,0.01430485
1966,0.0114111228995028,0.01121
1967,0.0111402945992493,0.0119485
1968,0.0107251431980035,0.007241
1969,0.0105319945804132,0.00409
1970,0.0110129849302026,0.0123549
1971,0.0125194454730204,0.015535
1972,0.0151275176519185,0.0078635
1973,0.0185593093239163,0.0179135
1974,0.0222454845705087,0.04079695
1975,0.0255147089879467,0.02773196
1976,0.0278375131906705,0.01746555
1977,0.0290217298109784,0.02230375
1978,0.029266718838653,0.028323
1979,0.0290291262910059,0.034657
