kartez,family,genus,sp_epithet,subspecies_variety,common_name,Native,PhotoPath,LifeHistory,FunctionalGroup
ABFR2,Nyctaginaceae,Abronia,fragrans,,snowball sand verbena,y,C3,p,f
ACEM4,Poaceae,Achnatherum,eminens,,southwestern needlegrass,y,C3,p,g
ACGL,Aceraceae,Acer,glabrum,,Rocky Mountain maple,y,C3,p,t
ACHY,Poaceae,Achnatherum,hymenoides,,Indian ricegrass ,y,C3,p,g
ACNA2,Asteraceae,Acourtia,nana,,dwarf desertpeony,y,C3,p,f
ACNE,Euphorbiaceae,Acalypha,neomexicana,,New Mexico copperleaf,y,C3,a,f
ACNE2,Aceraceae,Acer,negundo,,boxelder,y,C3,p,t
ACNEI2,Aceraceae,Acer,negundo,var. interius,boxelder,y,C3,p,t
ACRE3,Asteraceae,Acroptilon,repens,,hardheads,n,C3,p,f
AGGI2,Poaceae,Agrostis,gigantea,,redtop,n,C3,p,g
AGHE5,Asteraceae,Ageratina ,herbacea,,fragrant snakeroot,y,C3,p,f
AIAL,Simaroubaceae,Ailanthus,altissima,,tree of heaven,n,C3,p,t
ALCE2,Liliaceae,Allium,cernuum,,nodding onion,y,C3,p,f
ALFI3,Apiaceae,Aletes,filifolius,,Trans-Pecos Indian parsley,y,C3,p,f
ALGE,Liliaceae,Allium,geyeri,,Geyer's onion,y,C3,p,f
ALIN,Nyctaginaceae,Allionia,incarnata,,trailing windmills,y,C4,p,f
ALMA4,Liliaceae,Allium,macropetalum,,largeflower wild onion,y,C3,p,f
ALOC2,Chenopodiaceae,Allenrolfea,occidentalis,,iodinebush,y,C3,p,s
ALPA14,Asteraceae,Almutaster,pauciflorus,,alkali marsh aster,y,C3,p,f
ALWR,Verbenaceae,Aloysia,wrightii,,Wright's beebrush,y,C3,p,s
AMAC2,Asteraceae,Ambrosia,acanthicarpa,,flatspine bur ragweed,y,C3,a,f
AMAL,Amaranthaceae,Amaranthus,albus,,prostrate pigweed,y,C4,a,f
AMAR2,Asteraceae,Ambrosia,artemisiifolia,,annual ragweed,y,C3,a,f
AMARA,Amaranthaceae,Amaranthus,NA,,NA,NA,C4,a,f
AMBL,Amaranthaceae,Amaranthus,blitoides,,mat amaranth,n,C4,a,f
AMCH3,Nyctaginaceae,Ammocodon,chenopodioides,,goosefoot moonpod,y,C3,p,f
AMCO3,Asteraceae,Ambrosia,confertiflora,,weakleaf bur ragweed,y,C3,p,f
AMFU,Apocynaceae,Amsonia,fugatei,,San Antonio bluestar,y,C3,p,f
AMHY,Amaranthaceae,Amaranthus,hybridus,,slim amaranth,y,C4,a,f
AMPA,Amaranthaceae,Amaranthus,palmeri,,carlessweed,y,C4,a,f
AMPA5,Apocynaceae,Amsonia,palmeri,,Palmer's bluestar,y,C3,p,f
AMPO2,Amaranthaceae,Amaranthus,powellii,,Powell's amaranth,y,C4,a,f
ANCA10,Saururaceae,Anemopsis,californica,,yerba mansa,y,C3,p,f
APAN2,Apocynaceae,Apocynum,androsaemifolium,,spreading dogbane,y,C3,p,f
APRA,Asteraceae,Aphanostephus,ramosissimus,,plains dosedaisy,y,C3,p,f
APRAH,Asteraceae,Aphanostephus,ramosissimus,var. humilis,plains dosedaisy,y,C3,p,f
ARAD,Poaceae,Aristida,adscensionis,,sixweeks threeawn,y,C4,a,g
ARAR6,Poaceae,Aristida,arizonica,,Arizona threeawn,y,C4,p,g
ARBI3,Asteraceae,Artemisia,bigelovii,,Bigelow sagebrush,y,C3,p,s
ARCA12,Asteraceae,Artemisia,campestris,,field sagewort,y,C3,p,f
ARCA14,Asteraceae,Artemisia,carruthii,,Carruth's sagewort,y,C3,p,f
ARDI5,Poaceae,Aristida,divaricata,,poverty threeawn,y,C4,p,g
ARDR,Brassicaceae,Arabis,drummondii,,Dummond's rockcress,y,C3,p,f
ARDR4,Asteraceae,Artemisia,dracunculus,,wormwood,y,C3,p,f
ARFE5,Pteridaceae,Argyrochosma,fendleri,,Fendler's false cloak ferm,y,C3,p,f
ARFEF,Brassicaceae,Arabis,fendleri, var. fendleri,Fendler's rockcress,y,C3,p,f
ARFI2,Asteraceae,Artemisia,filifolia,,sand sagebrush,y,C3,p,s
ARFR4,Asteraceae,Artemisia,frigida,,prairie sagewort,y,C3,p,s
ARHA3,Poaceae,Aristida,havardii,,Harvard's threeawn,y,C4,p,g
ARIST,Poaceae,Aristida,NA,,threeawn,NA,C4,p,g
ARLU,Asteraceae,Artemisia,ludoviciana,,white sagebrush,y,C3,p,f
ARLUA,Asteraceae,Artemisia,ludoviciana,subsp. albula,white sagebrush,y,C3,p,f
ARLUL2,Asteraceae,Artemisia,ludoviciana,subsp. ludoviciana,white sagebrush,y,C3,p,f
ARPA9,Poaceae,Aristida,pansa,,Wooton's threeawn,y,C4,p,g
ARPE2,Brassicaceae,Arabis,perennans,,perennial rockcress,y,C3,p,f
ARPU9,Poaceae,Aristida,purpurea,,purple threeawn,y,C4,p,g
ARPUF,Poaceae,Aristida,purpurea,var. fendleriana,Fendler's threeawn,y,C4,p,g
ARPUL,Poaceae,Aristida,purpurea,var. longiseta,Fendler threeawn,y,C4,p,g
ARPUN,Poaceae,Aristida,purpurea,var. nealleyi,blue threeawn,y,C4,p,g
ARPUP6,Poaceae,Aristida,purpurea,var. purpurea ,purple threeawn,y,C4,p,g
ARPUW,Poaceae,Aristida,purpurea,var. wrightii,Wright's threeawn,y,C4,p,g
ASAL5,Fabaceae,Astragalus,albulus,,cibola milkvetch,y,C3,p,f
ASASA,Asclepiadaceae,Asclepias,asperula,subsp. asperula,spider milkweed,y,C3,p,f
ASBR,Asclepiadaceae,Asclepias,brachystephana,,bract milkweed,y,C3,p,f
ASEN,Asclepiadaceae,Asclepias,engelmanniana,,Engelmann's milkweed,y,C3,p,f
ASFE2,Fabaceae,Astragalus,missouriensis,var. mimetes,horn loco milkvetch,y,C3,p,f
ASFL2,Fabaceae,Astragalus,flexuosus,,flexile milkvetch,y,C3,p,f
ASLA4,Asclepiadaceae,Asclepias,latifolia,,broadleaf milkweed,y,C3,p,f
ASLE8,Fabaceae,Astragalus,lentiginosus,,freckled milkvetch,y,C3,p,s
ASLED,Fabaceae,Astragalus,lentiginosus,var. diphysus,freckled milkvetch,y,C3,p,f
ASMA,Asclepiadaceae,Asclepias,macrotis,,longhood milkweed,y,C3,p,s
