"quad name","quad original","elevation","grazing status","grazing notes prior to time span of chart","grazing notes during time span of chart","rain gauge"
"A1P","A1P",3700,"grazed","overgrazed pre-1915","heavily unrestricted grazed post-1915","ROAD"
"A2P","A2P",3550,"grazed","overgrazed pre-1915","none/ heavily and moderately grazed post-1915","ROAD"
"A3P","A3P",3300,"grazed","close/heavily grazed","closely/ heavily/ moderately grazed","SW"
"A5P","A5P","N/A","ungrazed/grazed","protected 14 years pre-1917","protected post-1917/ lightly grazed post-1919","DESGR"
"AW1","2AW1","N/A","unknown","N/A","N/A","RODEN"
"AW2","2AW2","N/A","unknown","N/A","N/A","RODEN"
"AW3","2AW3","N/A","unknown","N/A","N/A","RODEN"
"AW4","2AW4","N/A","unknown","N/A","N/A","RODEN"
"AW5","2AW5","N/A","unknown","N/A","N/A","MUHLE"
"B1P","B1P",3700,"grazed","protected 13 years pre-1915","lightly and some heavily grazed post-1915","ROAD"
"B2P","B2P",3550,"grazed","protected 13 years pre-1915","lightly grazed since 1915","ROAD"
"B3P","B3P",3300,"ungrazed","practically ungrazed","N/A","SW"
"B4P","B4P",3450,"grazed","practically ungrazed","heavily grazed","RODEN"
"B5P","B5P","N/A","grazed","protected 13 years pre-1917","heavily grazed not during growing season","DESGR"
"BW1","2BW1","N/A","unknown","N/A","N/A","BOX"
"BW2","2BW2","N/A","unknown","N/A","N/A","ERIOP"
"BW3","2BW3","N/A","unknown","N/A","N/A","ERIOP"
"BW4","2BW4","N/A","unknown","N/A","N/A","ERIOP"
"BW5","2BW5","N/A","unknown","N/A","N/A","ERIOP"
"C1P","C1P",4050,"grazed","protected 13 years pre-1915","early 1915 lightly grazed/ then heavily grazed since","DESGR"
"C2P","C2P",4150,"grazed","protected 13 years pre-1915","grazed/ but not heavily/ post-1915","BOX"
"C2RP","C2PR",4151,"grazed","protected 13 years pre-1916","grazed/ but not heavily/ post-1916","BOX"
"C3P","C3P",4300,"grazed","protected 13 years pre-1915","heavily grazed post-1915","RUELA"
"C4P","C4P",4150,"grazed","protected 13 years pre-1915","moderately grazed post-1915","PARKE"
"C5P","C5P",4100,"grazed","lightly grazed since 1908","lightly grazed by horses 1917","DESGR"
"D1P","D1P",4050,"grazed","regulated grazing system since 1908","1915 lightly grazing/ 1916 heavily grazed","DESGR"
"D2P","D2P",4150,"grazed","regulated grazing system since 1908","1915 moderately grazed/ rest in Aug and Sept","BOX"
"D3P","D3P",4300,"grazed","grazed all but Aug/ Sept","grazed all but Aug/ Sept","RUELA"
"D4P","D4P",4150,"grazed","regulated grazing system for 8 years","moderately/ heavily grazed","PARKE"
"D5P","D5P",4100,"grazed","regulated grazing system since 1908","moderately grazed","FORES"
"E1P","E1P",3800,"grazed","protected 13 years pre-1915","moderately grazed since 1915","RODEN"
"E2P","E2P",3750,"grazed","protected 13 years pre-1915","moderately and heavily grazed","RODEN"
"E3P","E3P",3600,"grazed","protected 13 years pre-1915","lightly grazed or ungrazed since 1915","ERIOP"
"E4P","E4P",3750,"grazed","protected 13 years pre-1915/ then grazed 8 months","lightly grazed post-1915","ERIOP"
"E5P","E5P",3800,"grazed","protected 13 years pre-1915","moderately grazed post-1915","HUERF"
"FH1","FH1","N/A","unknown","N/A","N/A","WHITE"
"FH10","FH10","N/A","unknown","N/A","N/A","FORES"
"FH11","FH11","N/A","unknown","N/A","N/A","FORES"
"FH12","FH12","N/A","unknown","N/A","N/A","PARKE"
"FH13","FH13","N/A","unknown","N/A","N/A","ROBIN"
"FH14","FH14","N/A","unknown","N/A","N/A","ROBIN"
"FH15","FH15","N/A","unknown","N/A","N/A","HUERF"
"FH16","FH16","N/A","unknown","N/A","N/A","HUERF"
"FH17","FH17","N/A","unknown","N/A","N/A","FORES"
