PASTTRAN,PASTURE,TRANSECT,ORIGIN,ECOSITE,MESQSTAT,1994 Burn,2017 Burn,2018 Burn,SPECIES,YR1953,YR1954,YR1955,YR1956,YR1957,YR1958,YR1959,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1970,YR1975,YR1978,YR1981,YR1984,YR1991,YR1994,YR1997,YR2000,YR2003,YR2006,YR2009,YR2012,YR2015,YR2018,YR2021
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,ACAN,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,ACCO,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,ACGR,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,AGAV,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,ALWR,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,ANBA,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,ANTH,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,APTE,-9999,-9999,-9999,-9999,48,92,39,145,59,74,105,104,57,127,96,16,42,80,141,105,53,23,0,3,1,10,10,40,31,59
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,ARIS,-9999,-9999,-9999,-9999,0,3,1,2,2,2,1,0,1,1,9,-9999,-9999,-9999,1,3,2,0,3,0,0,2,2,3,0,4
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,ATCA,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
