CODE	CURRENT SCIENTIFIC NAME	AUTHORITY	Form
ACAN	Acacia angustissima	(Mill.) Kuntze	
ACCO	Acacia constricta	Benth.	
ACGR	Acacia greggii	Gray	
AGAV	Agave spp.		
AGPA3	Agave parryi	Engelm.	
ALLI	Allionia spp.		
AMBR	Ambrosia spp.		
ANBA	Bothriochloa barbinodis	(Lag.) Herter	grass
ANCI	Andropogon cirratus	Hack.	grass
ANSC	Schizachyrium scoparium	(Michx.) Nash	grass
ANTH	Anisacanthus thurberi	(Torr.) Gray	
APLA	Haplopappus laricifolius	Gray	
APTE	Haplopappus tenuisectus	(Greene) Blake	
ARFE	Aristida fendleriana	Steud.	grass
ARGE	Argemone spp.		
ARGL	Aristida glabrata	(Vasey) Hitchc.	grass
ARGL1	Aristida glabrata	(Vasey) Hitchc.	grass
ARIS	Aristida spp.	L.	grass
ARWA	Aristolochia watsoni	Woot.& Standl.	
ASC	Schizachyrium scoparium	(Michx.) Nash	grass
ASTE	Aster spp.		
ASTR	Astragalus spp.		
ATCA	Atriplex canescens	(Pursh) Nutt.	
ATCO	Atriplex corrugata	Wats.	
AYEN	Ayenia spp.		
BAAB	Bahia absinthifolia	Benth.	
BABR	Baccharis brachyphylla	Gray	
BACC	Baccharis spp.		
BACH	Baccharis spp.		
BAMU	Baileya multiradiata	Harv. & Gray	
BARA	Baccharis pteronioides	DC.	
BASA	Baccharis sarothroides	Gray	
ACAC	Acacia spp.		
ALWR	Aloysia wrightii	(Gray) Heller	
DICA	Digitaria californica	(Benth.) Chase	grass
ERCU	Eragrostis curvula v. conferta	(Schrod.) Nees	grass
HIBI	Hibiscus spp.		
LYCI	Lycium spp.		
MENT	Mentzelia spp.		
MURE	Muhlenbergia repens	(Presl) Hitchc.	grass
PAOB	Panicum obtusum	H.B.K.	grass
PRVE	Prosopis velutina	Woot.	
TEHI	Tetramerium hispidum	Nees	
TRCA2	Trixis californica	Kell.	
BOCH	Bouteloua chondrosioides	(H.B.K.) Benth.	grass
BOCO	Boerhaavia coccinea	Mill.	
BOCU	Bouteloua curtipendula	(Michx.) Torr.	grass
BOEL	Bouteloua eludens	Griffiths	grass
BOER	Bouteloua eriopoda	Torr.	grass
BOFI	Bouteloua filiformis	(Fourn.) Griffiths	grass
BOHA	Boerhaavia spp.		
BOHI	Bouteloua hirsuta	Lag.	grass
BORO	Bouteloua rothrockii	Vasey	grass
BRDE	Brayulinea densa	(Humb.& Bonpl.) Small	
BRIC	Brickellia spp.		
CAAR	Carlowrightia arizonica	Gray	
CAER	Calliandra eriophylla	Benth.	
CARL	Carlowrightia arizonica	Gray	
CASS	Cassia spp.		
CEFL	Cercidium floridum	Benth.	
CEMI	Cercidium microphyllum	(Torr.) Rose & Johnston	
CEPA	Celtis pallida	Torr.	
CEPA2	Celtis pallida	Torr.	
CIRS	Cirsium spp.		
COLY	Zizyphus obtusifolia	(Hooker) Gray	
COOB	Zizyphus obtusifolia	(Hooker) Gray	
COPA	Cottea pappophoroides	Kunth.	grass
COSC	Commicarpus scandens	(L.) Standl.	
CRCO	Croton corymbulosus	Engelm.	
DALE	Dalea spp.		
DAME	Datura meteloides	DC.	
DAWH	Dasylirion wheeleri	Wats.	
