"quad","year","species","count","cover"
"A1P",1918,"Weed",2,"NA"
"A1P",1920,"Ambrosia artemisiifolia",87,"NA"
"A1P",1920,"Bouteloua aristidoides","NA","t"
"A1P",1920,"Eriogonum wrightii",1,"NA"
"A1P",1920,"Evolvulus arizonicus",1,"NA"
"A1P",1920,"Panicum hirticaule",1,"NA"
"A1P",1920,"Unknown Forb",13,"NA"
"A1P",1921,"Ambrosia artemisiifolia",20,"NA"
"A1P",1923,"Aristida adscensionis","NA",0.05
"A1P",1923,"Bouteloua aristidoides","NA",0.05
"A1P",1923,"Weed","NA",0.02
"A1P",1924,"Eriogonum wrightii",2,"NA"
"A1P",1924,"Evolvulus arizonicus",4,"NA"
"A1P",1924,"Sphaeralcea spp.",3,"NA"
"A1P",1926,"Ambrosia artemisiifolia",4,"NA"
"A1P",1926,"Aristida adscensionis",30,"NA"
"A1P",1926,"Bouteloua aristidoides",50,"NA"
"A1P",1926,"Eriogonum wrightii",1,"NA"
"A1P",1926,"Evolvulus arizonicus",1,"NA"
"A1P",1926,"Isocoma tenuisecta",18,"NA"
"A1P",1926,"Sphaeralcea spp.",3,"NA"
"A1P",1927,"Ambrosia artemisiifolia",1,"NA"
"A1P",1927,"Aristida adscensionis","NA","t"
"A1P",1927,"Bouteloua aristidoides","NA","t"
"A1P",1927,"Eriogonum wrightii",1,"NA"
"A1P",1927,"Isocoma tenuisecta",17,"NA"
"A1P",1927,"Sphaeralcea spp.",1,"NA"
"A1P",1928,"Boerhavia purpurascens",1,"NA"
"A1P",1928,"Evolvulus arizonicus",1,"NA"
"A1P",1929,"Aristida adscensionis","NA","t"
"A1P",1929,"Bouteloua aristidoides","NA","t"
"A1P",1929,"Evolvulus arizonicus",1,"NA"
"A1P",1931,"Annual grass","NA","t"
"A1P",1931,"Evolvulus arizonicus",1,"NA"
"A1P",1933,"Evolvulus arizonicus",1,"NA"
"A1P",1933,"Unknown",2,"NA"
"A2P",1921,"Bouteloua aristidoides","NA",0.3
"A2P",1922,"Sphaeralcea spp.",1,"NA"
"A2P",1923,"Aristida adscensionis","NA",0.06
"A2P",1923,"Bouteloua aristidoides","NA",0.06
"A2P",1924,"Isocoma tenuisecta",5,"NA"
"A2P",1924,"Sphaeralcea spp.",1,"NA"
"A2P",1926,"Aristida adscensionis",40,"NA"
"A2P",1926,"Bouteloua aristidoides",368,"NA"
"A2P",1926,"Isocoma tenuisecta",9,"NA"
"A2P",1927,"Aristida adscensionis","NA",0.02
"A2P",1927,"Bouteloua aristidoides","NA",0.02
"A2P",1927,"Isocoma tenuisecta",16,"NA"
"A2P",1928,"Annual grass","NA",0.01
"A2P",1930,"Annual grass","NA",0.05
"A2P",1931,"Annual grass","NA",0.07
"A3P",1920,"Aristida adscensionis","NA",0.05
"A3P",1920,"Bouteloua aristidoides","NA",0.4
"A3P",1920,"Chloris virgata","NA",0.05
"A3P",1920,"Sphaeralcea spp.",3,"NA"
"A3P",1921,"Bouteloua aristidoides","NA",0.1
"A3P",1921,"Eragrostis intermedia","NA",0.1
"A3P",1921,"Evolvulus arizonicus",1,"NA"
"A3P",1921,"Sida spinosa",2,"NA"
"A3P",1921,"Solanum elaeagnifolium",3,"NA"
"A3P",1921,"Tidestromia lanuginosa",4,"NA"
"A3P",1922,"Aristida adscensionis","NA",0.1
"A3P",1922,"Bouteloua aristidoides","NA",0.1
"A3P",1922,"Eragrostis intermedia","NA",0.1
"A3P",1922,"Evolvulus arizonicus",1,"NA"
